Path	Group	Primary dataset	Total	ParkingZeroBias0	ParkingZeroBias1	ParkingZeroBias2	ParkingZeroBias3
HLT_PFMET170_HBHECleaned_v5	JME,SUSY	MET	4	1	1	2	0
HLT_Mu6_PFHT200_PFMET80_BTagCSV_p067_v2	SUSY	MET	4	1	2	0	1
HLT_IsoMu21_eta2p1_LooseIsoPFTau50_Trk30_eta2p1_SingleL1_v1	TAU,HIG	SingleMuon	4	0	0	2	2
HLT_DoubleMu3_Trk_Tau3mu_v2	BPH	DoubleMuonLowMass	4	0	1	0	3
HLT_DoubleIsoMu17_eta2p1_v4	TAU,HIG	SingleMuon	4	0	0	4	0
HLT_DoubleIsoMu17_eta2p1_noDzCut_v2	TAU	SingleMuon	4	0	0	4	0
HLT_PFHT400_SixJet30_v4	HIG	JetHT	4	1	2	1	0
HLT_PFHT300_DiPFJetAve90_PFAlphaT0p54_v4	SUSY	HTMHT	4	2	0	1	1
HLT_DiPFJetAve400_v4	JME	JetHT	4	1	1	0	2
HLT_RsqMR240_Rsq0p09_MR200_4jet_v3	SUSY	HTMHT	4	1	2	1	0
HLT_PFJet400_v5	SMP,B2G,BTV	JetHT	3	1	1	1	0
HLT_PFMET120_BTagCSV_p067_v3	SUSY	MET	3	1	2	0	0
HLT_Ele45_WPLoose_Gsf_L1JetTauSeeded_v2	EGM,B2G	SingleElectron	3	1	2	0	0
HLT_LooseIsoPFTau50_Trk30_eta2p1_MET110_v2	TAU,HIG,EXO	Tau	3	2	1	0	0
HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v6	TAU,HIG,EXO	SingleElectron	3	1	2	0	0
HLT_PFHT350_DiPFJetAve90_PFAlphaT0p53_v4	SUSY	HTMHT	3	2	0	0	1
HLT_Mu24_eta2p1_v4	SMP,EXO	SingleMuon	3	0	0	1	2
HLT_Photon135_PFMET100_v5	EXO	SinglePhoton	3	1	1	1	0
HLT_PFJet260_v5	JME,SMP,BTV	JetHT	3	1	0	1	1
HLT_Mu14er_PFMET100_v2	JME,SUSY	MET	3	1	2	0	0
HLT_DoubleMu3_PFMET50_v2	SUSY	MET	3	0	1	0	2
HLT_HT350_DisplacedDijet40_Inclusive_v3	EXO	DisplacedJet	3	0	1	1	1
HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau32_Trk1_eta2p1_Reg_v5	TAU,HIG,EXO	SingleElectron	3	1	2	0	0
HLT_HT750_DisplacedDijet80_Inclusive_v4	EXO	DisplacedJet	3	1	1	1	0
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300_v7	SUSY	DoubleEG	3	0	1	1	1
HLT_Mu12_Photon25_CaloIdL_L1OR_v6	HIG	MuonEG	3	0	1	1	1
HLT_TkMu24_eta2p1_v5	SMP	SingleMuon	3	0	0	1	2
HLT_Mu3er_PFHT140_PFMET125_v3	SUSY	MET	3	2	1	0	0
HLT_Mu37_Ele27_CaloIdL_GsfTrkIdVL_v3	EXO,B2G,SUSY	MuonEG	3	1	0	0	2
HLT_DoubleMu33NoFiltersNoVtx_v3	EXO	DoubleMuon	3	0	0	3	0
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_v7	HIG,SMP	DoubleEG	3	0	1	1	1
HLT_DiPFJetAve500_v4	JME	JetHT	3	1	0	2	0
HLT_Dimuon13_PsiPrime_v3	BPH	Charmonium	3	2	1	0	0
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelSeedMatch_Mass70_v5	HIG	DoubleEG	3	1	1	1	0
HLT_Mu8_DiEle12_CaloIdL_TrackIdL_v6	HIG	MuonEG	3	0	2	1	0
HLT_Photon300_NoHE_v6	HIG	SinglePhoton	3	1	1	1	0
HLT_IsoMu16_eta2p1_MET30_LooseIsoPFTau50_Trk30_eta2p1_v2	HIG,TAU,EXO	SingleMuon	3	0	0	2	1
HLT_AK8PFJet400_v1	SMP	JetHT	3	1	1	1	0
HLT_DoublePhoton85_v6	EXO,EGM	DoubleEG	2	0	0	0	2
HLT_DoubleJetsC112_DoubleBTagCSV_p026_DoublePFJetsC172_v2	HIG	BTagCSV	2	0	2	0	0
HLT_Ele27_WPTight_Gsf_L1JetTauSeeded_v2	EGM	SingleElectron	2	0	2	0	0
HLT_LooseIsoPFTau50_Trk30_eta2p1_MET120_v2	TAU,HIG,EXO	Tau	2	1	1	0	0
HLT_Photon120_R9Id90_HE10_IsoM_v6	SMP,SUSY	SinglePhoton	2	0	1	0	1
