Prescale	Path	Dataset	Group		Total	HLTPhysics0	HLTPhysics1	
-1	HLT_Rsq0p02_MR450_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v1	SUS	OnlineMonitor,BTagCSV		226.0	106.0	120.0
-1	HLT_AK4CaloJet30_v4	HIN	OnlineMonitor,HINCaloJets		0.0	0.0	0.0
-1	HLT_Ele20_eta2p1_WPLoose_Gsf_LooseIsoPFTau28_v1	Tau,HIG,EXO	OnlineMonitor,SingleElectron		127.0	67.0	60.0
-1	HLT_Mu42NoFiltersNoVtx_Photon42_CaloIdL_v5	EXO	OnlineMonitor,MuonEG		10.0	7.0	3.0
-1	HLT_PixelTracks_Multiplicity85ForEndOfFill_v2	FSQ,HIN	OnlineMonitor,HighMultiplicity85EOF		0.0	0.0	0.0
-1	HLT_Ele25_eta2p1_WPLoose_Gsf_v6	EGM	OnlineMonitor,SingleElectron		0.0	0.0	0.0
-1	HLT_Photon90_CaloIdL_PFHT600_v6	SUS,EXO	OnlineMonitor,SinglePhoton		100.0	40.0	60.0
-1	HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF_v6	HIG	OnlineMonitor,SinglePhoton		0.0	0.0	0.0
-1	HLT_MET60_IsoTrk35_Loose_v2	EXO	OnlineMonitor,MET		0.0	0.0	0.0
-1	HLT_HcalIsolatedbunch_v1	HCAL DPG	OnlineMonitor,Commissioning		0.0	0.0	0.0
-1	HLT_DiCentralPFJet220_CFMax0p3_v3	EXO.	OnlineMonitor,JetHT		0.0	0.0	0.0
-1	HLT_PFHT200_DiPFJetAve90_PFAlphaT0p63_v5	SUS	OnlineMonitor,HTMHT		180.0	83.0	97.0
-1	HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55_v6	null	OnlineMonitor,DoubleEG		0.0	0.0	0.0
-1	HLT_DiPFJetAve60_v6	JME	OnlineMonitor,JetHT		22.0	11.0	11.0
-1	HLT_Mu12_Photon25_CaloIdL_v6	HIG	OnlineMonitor,MuonEG		0.0	0.0	0.0
-1	HLT_Rsq0p25_v4	SUS	OnlineMonitor,HTMHT		23.0	15.0	8.0
-1	HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Loose_v3	EXO	OnlineMonitor,SingleMuon		43.0	21.0	22.0
-1	HLT_DiPFJetAve140_v5	JME	OnlineMonitor,JetHT		11.0	4.0	7.0
-1	HLT_PFMET300_v4	PPD	OnlineMonitor,MET		11.0	7.0	4.0
-1	HLT_IsoMu17_eta2p1_LooseIsoPFTau20_SingleL1_v6	TAU,HIG	OnlineMonitor,SingleMuon		0.0	0.0	0.0
-1	HLT_HT450to470_v3	EXO	OnlineMonitor,ParkingHT450to470,ParkingScoutingMonitor		1147.0	562.0	585.0
-1	HLT_L2DoubleMu38_NoVertex_2Cha_Angle2p5_Mass10_v4	EXO	OnlineMonitor,DoubleMuon		23.0	15.0	8.0
-1	HLT_Mu27_Ele37_CaloIdL_GsfTrkIdVL_v4	null	OnlineMonitor,MuonEG		25.0	12.0	13.0
-1	HLT_CaloJet500_NoJetID_v4	null	OnlineMonitor,JetHT		94.0	43.0	51.0
-1	HLT_HT400_DisplacedDijet40_Inclusive_v4	EXO	OnlineMonitor,DisplacedJet		0.0	0.0	0.0
-1	HLT_DiPFJetAve35_HFJEC_v4	FSQ,JME	OnlineMonitor,FSQJets		0.0	0.0	0.0
-1	HLT_Dimuon10_Jpsi_Barrel_v5	BPH	OnlineMonitor,Charmonium		0.0	0.0	0.0
-1	HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL_v7	HIG	OnlineMonitor,MuonEG		0.0	0.0	0.0
-1	HLT_Ele17_CaloIdM_TrackIdM_PFJet30_v5	SUS	OnlineMonitor,DoubleEG		18.0	6.0	12.0
-1	HLT_AK8PFJet80_v2	SMP	OnlineMonitor,JetHT		19.0	11.0	8.0
-1	HLT_IsoMu22_eta2p1_v2	TAU,HIG	OnlineMonitor,SingleMuon		1597.0	790.0	807.0
-1	HLT_HT350_DisplacedDijet40_Inclusive_v3	EXO	OnlineMonitor,DisplacedJet		1.0	1.0	0.0
-1	HLT_AK8PFJet60_v2	SMP	OnlineMonitor,JetHT		20.0	9.0	11.0
-1	HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_BTagCSV_p067_v4	HIG ,Hbb	OnlineMonitor,MET		75.0	41.0	34.0
-1	HLT_Mu40_eta2p1_PFJet200_PFJet50_v5	B2G	OnlineMonitor,SingleMuon		31.0	14.0	17.0
-1	HLT_DiPFJet15_FBEta3_NoCaloMatched_v4	FSQ	OnlineMonitor,FSQJets		0.0	0.0	0.0
-1	HLT_PixelTracks_Multiplicity110ForEndOfFill_v3	FSQ,HIN	OnlineMonitor,HighMultiplicityEOF		0.0	0.0	0.0
-1	HLT_RsqMR270_Rsq0p09_MR200_v4	SUS	OnlineMonitor,HTMHT		90.0	43.0	47.0
-1	HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose_v3	EXO	OnlineMonitor,SingleMuon		98.0	48.0	50.0
-1	HLT_DiPFJet25_NoCaloMatched_v3	FSQ	OnlineMonitor,FSQJets		0.0	0.0	0.0
-1	HLT_PFMET170_BeamHaloCleaned_v4	JME	OnlineMonitor,MET		13.0	9.0	4.0
-1	HLT_DoubleMu3_PFMET50_v3	SUS	OnlineMonitor,MET		56.0	30.0	26.0
-1	HLT_HT275_v3	EXO	OnlineMonitor,DisplacedJet		15.0	8.0	7.0
-1	HLT_Photon120_R9Id90_HE10_IsoM_v7	SMP,SUS	OnlineMonitor,SinglePhoton		22.0	15.0	7.0
-1	HLT_L1MinimumBiasHF_OR_v2	null	OnlineMonitor,L1MinimumBias		0.0	0.0	0.0
-1	HLT_PFJet80_v6	SMP	OnlineMonitor,JetHT		14.0	10.0	4.0
-1	HLT_PFHT350_DiPFJetAve90_PFAlphaT0p53_v5	SUS	OnlineMonitor,HTMHT		65.0	34.0	31.0
-1	HLT_L1FatEvents_v1	null	OnlineMonitor,ExpressPhysics,HLTPhysics		15728.0	7699.0	8029.0
-1	HLT_SingleCentralPFJet170_CFMax0p1_v3	EXO.	OnlineMonitor,JetHT		12.0	5.0	7.0
-1	HLT_HT2500_v3	PPD	OnlineMonitor,ExpressPhysics,JetHT		0.0	0.0	0.0
-1	HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v8	HIG	OnlineMonitor,ExpressPhysics,HLTMonitor,DoubleEG		125.0	77.0	48.0
