Path,Group,Dataset,L1Path,L1Prescale(9.5e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(9.5e33),Steam hltPrescale,Wbm Count,Steam Count,,Data Rate (Hz),,,Steam Rate (Hz),,abs(Data-Steam)(Hz),,Bias : (data-steam)/max(data;steam),,Pull
HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_VBF,"HIG","OnlineMonitor,SinglePhoton",L1_SingleEG40,1,L1_SingleEG40,1,2,2,3664,7,0.69000,+/-,0.01140,0.24663,+/-,0.09322,0.44337,64.26%,+/-,5.10%,4.75635579459
HLT_Mu7p5_Track7_Upsilon,"BPH","OnlineMonitor,MuOnia",L1_SingleMu5||L1_SingleMu7,0||100,L1_SingleMu5||L1_SingleMu7,300||250,3,3,89,0,0.02000,+/-,0.00212,0.00000,+/-,0.00000,0.02000,100.00%,+/-,10.60%,No rates in Steam
HLT_VBF_DisplacedJet40_TightID_Hadronic,"EXO","OnlineMonitor,DisplacedJet",L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF ||L1_HTT300,1||1||1 ||1,L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT300,1||1||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Ele27_eta2p1_WPLoose_Gsf,"EGM","OnlineMonitor,HLTMonitor,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1,1,1,639254,1715,120.28000,+/-,0.15044,120.84782,+/-,2.91814,0.56782,0.47%,+/-,2.41%,0.194583080037
HLT_DiPFJetAve15_HFJEC,"FSQ","OnlineMonitor,FSQJets",L1_SingleJet8_BptxAND,0,L1_SingleJet8_BptxAND,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ,"HIG","OnlineMonitor,ExpressPhysics,HLTMonitor,DoubleEG",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1||0||1||1||1||1||1||1||1||0,1,1,53703,125,10.10000,+/-,0.04358,8.80815,+/-,0.78782,1.29185,12.79%,+/-,6.82%,1.63976757978
HLT_Mu8,"SUS","OnlineMonitor,DoubleMuon",L1_SingleMu3||L1_SingleMu5||L1_SingleMu7,8500||0||100,L1_SingleMu3||L1_SingleMu5||L1_SingleMu7,10000||300||250,313,313,3230,11,0.61000,+/-,0.01073,0.00248,+/-,0.00075,0.60752,99.59%,+/-,1.76%,56.6023640488
HLT_VBF_DisplacedJet40_TightID_DisplacedTrack,"EXO","OnlineMonitor,DisplacedJet",L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF ||L1_HTT300,1||1||1 ||1,L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT300,1||1||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_IsoMu16_eta2p1_MET30,"HIG,TAU","OnlineMonitor,SingleMuon",L1_Mu10er_ETM30||L1_Mu14er_ETM30,0||1,L1_Mu10er_ETM30||L1_Mu14er_ETM30,0||1,1,1,158789,429,29.88000,+/-,0.07498,30.22957,+/-,1.45950,0.34957,1.16%,+/-,4.78%,0.239515095562
HLT_DoubleJetsC100_SingleBTagCSV_p026_SinglePFJetC350,"Higgs,Analysis","OnlineMonitor,BTagCSV",L1_DoubleJetC100,1,L1_DoubleJetC100,1,16,16,4458,12,0.84000,+/-,0.01258,0.05285,+/-,0.01526,0.78715,93.71%,+/-,1.50%,51.5956114971
HLT_TkMu50,"EXO,SMP,MUO","OnlineMonitor,SingleMuon",L1_SingleMu22||L1_SingleMu25,1||1,L1_SingleMu22||L1_SingleMu25,1||1,1,1,110051,300,20.71000,+/-,0.06243,21.13956,+/-,1.22049,0.42956,2.03%,+/-,5.66%,0.351956609035
HLT_Mu15_IsoVVVL_PFHT350,"SUS","OnlineMonitor,SingleMuon",L1_SingleMuOpen,16000,L1_SingleMuOpen,20000,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_PFMET100_PFMHT100_IDTight,"HIG ,Hbb","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||100||0||1||1||1||1||1||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||150||0||0||1||0||1||0||1||0||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Ele17_CaloIdM_TrackIdM_PFJet30,"SUS","OnlineMonitor,DoubleEG",L1_SingleEG15,900,L1_SingleEG15,1000,2,2,8651,18,1.63000,+/-,0.01752,0.63419,+/-,0.14948,0.99581,61.09%,+/-,3.73%,6.66188163879
HLT_PFMET170_BeamHaloCleaned,"JME","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,0||100||0||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,0||150||0||1||1||1,21,21,4352,13,0.82000,+/-,0.01243,0.04362,+/-,0.01210,0.77638,94.68%,+/-,1.52%,62.4603184675
HLT_DoubleMu4_3_Bs,"null","OnlineMonitor,Charmonium",L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu0er1p4_dEta_Max1p8_OS||L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1||1||1||1,L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu0er1p4_dEta_Max1p8_OS||L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1||0||1||1,1,1,56458,143,10.62000,+/-,0.04470,10.07652,+/-,0.84264,0.54348,5.12%,+/-,7.54%,0.644967359079
HLT_PFMET170_NotCleaned,"JME","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,0||100||0||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,0||150||0||1||1||1,21,21,4691,13,0.88000,+/-,0.01285,0.04362,+/-,0.01210,0.83638,95.04%,+/-,1.46%,65.0958047546
HLT_JetE30_NoBPTX3BX,"EXO","OnlineMonitor,NoBPTX",L1_SingleJetC20_NotBptxOR_3BX,200,L1_SingleJetC20_NotBptx||_3BX,0||_3BX,1,1,1310,3,0.25000,+/-,0.00691,0.21140,+/-,0.12205,0.03860,15.44%,+/-,41.37%,0.316301614769
HLT_Mu17_Mu8_SameSign,"null","OnlineMonitor,DoubleMuon",L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,1,1,42612,103,8.02000,+/-,0.03885,7.25792,+/-,0.71514,0.76208,9.50%,+/-,8.08%,1.06563785033
HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV_p20,"B2G PAG","OnlineMonitor,JetHT",L1_SingleJet180||L1_SingleJet200,1||1,L1_SingleJet180||L1_SingleJet200,1||1,1,1,160756,407,30.25000,+/-,0.07545,28.67934,+/-,1.42158,1.57066,5.19%,+/-,4.46%,1.10486964737
HLT_MonoCentralPFJet80_PFMETNoMu100_PFMHTNoMu100_IDTight,"EXO","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||100||0||1||1||1||1||1||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||150||0||0||1||0||1||0||1||0||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_IsoMu21_eta2p1_LooseIsoPFTau20_SingleL1,"TAU,HIG","OnlineMonitor,SingleMuon",L1_SingleMu20er||L1_SingleMu22er,1||1,L1_SingleMu20er||L1_SingleMu22er,1||1,1,1,40477,108,7.62000,+/-,0.03787,7.61024,+/-,0.73230,0.00976,0.13%,+/-,9.61%,0.0133254600422
HLT_PFJet60,"SMP","OnlineMonitor,JetHT",L1_SingleJet35,2200,L1_SingleJet35,3000,35,35,7423,17,1.40000,+/-,0.01625,0.03423,+/-,0.00830,1.36577,97.56%,+/-,1.16%,84.050548069
HLT_Photon36_R9Id90_HE10_IsoM,"SMP,SUS","OnlineMonitor,SinglePhoton",L1_SingleEG26,210,L1_SingleEG26,300,1,1,11729,39,2.21000,+/-,0.02041,2.74814,+/-,0.44006,0.53814,19.58%,+/-,12.90%,1.22289900991
HLT_Ele45_WPLoose_Gsf_L1JetTauSeeded,"EGM","OnlineMonitor,SingleElectron",L1_SingleJet200||L1_SingleJet180||L1_SingleJet170||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1,L1_SingleJet200||L1_SingleJet180||L1_SingleJet170||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1,1,1,12120,23,2.28000,+/-,0.02071,1.62070,+/-,0.33794,0.65930,28.92%,+/-,10.57%,1.95094348418
HLT_TrkMu15_DoubleTrkMu5NoFiltersNoVtx,"EXO PAG","OnlineMonitor,DoubleMuon",L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,1,1,4668,14,0.88000,+/-,0.01288,0.98651,+/-,0.26366,0.10651,10.80%,+/-,23.88%,0.403983101307
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55,"null","OnlineMonitor,DoubleEG",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1||0||1||1||1||1||1||1||1||0,1,1,72687,165,13.68000,+/-,0.05074,11.62676,+/-,0.90514,2.05324,15.01%,+/-,5.64%,2.26841961727
HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30,"SUS","OnlineMonitor,DoubleEG",L1_SingleEG10||L1_SingleEG5,6800||43000,L1_SingleEG10||L1_SingleEG5,8000||50000,1,1,8719,16,1.64000,+/-,0.01756,1.12744,+/-,0.28186,0.51256,31.25%,+/-,11.86%,1.81847476634
HLT_Rsq0p30,"SUS","OnlineMonitor,HTMHT",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC80||L1_DoubleJetC100||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_Mu6_HTT200||L1_Mu8_HTT150||L1_EG27er_HTT200||L1_EG25er_HTT125||L1_DoubleEG6_HTT255,7500||0||5000||0||1||1||1||1||42||0||1||1||1||1||1||0||1||0||1||1||1||0||1||0||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC80||L1_DoubleJetC100||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_Mu6_HTT200||L1_Mu8_HTT150||L1_EG27er_HTT200||L1_EG25er_HTT125||L1_DoubleEG6_HTT255,9500||0||6500||0||0||0||1||1||100||0||0||1||1||1||1||0||1||0||1||1||1||0||1||0||1,1,1,3896,16,0.73000,+/-,0.01170,1.12744,+/-,0.28186,0.39744,35.25%,+/-,16.22%,1.41006915889
HLT_Ele27_WPTight_Gsf_L1JetTauSeeded,"EGM","OnlineMonitor,SingleElectron",L1_SingleJet200||L1_SingleJet180||L1_SingleJet170||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1,L1_SingleJet200||L1_SingleJet180||L1_SingleJet170||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1,1,1,8659,15,1.63000,+/-,0.01752,1.05698,+/-,0.27291,0.57302,35.15%,+/-,10.91%,2.09966951052
HLT_PFMET170_HBHE_BeamHaloCleaned,"JME","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,0||100||0||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,0||150||0||1||1||1,1,1,29860,94,5.62000,+/-,0.03252,6.62373,+/-,0.68319,1.00373,15.15%,+/-,8.77%,1.46918958288
AlCa_LumiPixels_ZeroBias,"JME","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,0||100||0||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,0||150||0||1||1||1,1,1,29860,94,5.62000,+/-,0.03252,6.62373,+/-,0.68319,1.00373,15.15%,+/-,8.77%,1.46918958288
HLT_Mu23NoFiltersNoVtx_Photon23_CaloIdL,"EXO","OnlineMonitor,MuonEG",L1_Mu5_EG20||L1_MU20_EG15,1||1,L1_Mu5_EG20||L1_MU20_EG15,1||1,39,39,1425,6,0.27000,+/-,0.00715,0.01084,+/-,0.00443,0.25916,95.98%,+/-,2.65%,36.233500926
DST_ZeroBias_CaloScouting_PFScouting,"EXO","OnlineMonitor,MuonEG",L1_Mu5_EG20||L1_MU20_EG15,1||1,L1_Mu5_EG20||L1_MU20_EG15,1||1,39,39,1425,6,0.27000,+/-,0.00715,0.01084,+/-,0.00443,0.25916,95.98%,+/-,2.65%,36.233500926
HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460,"HIG ,Hbb","OnlineMonitor,HLTMonitor,BTagCSV",L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120,1||1||1||1||1||1||1||1||1||1||1||1,L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120,1||1||1||1||1||1||1||1||1||1||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Ele25_eta2p1_WPTight_Gsf,"EGM","OnlineMonitor,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1,1,1,493363,1358,92.83000,+/-,0.13216,95.69174,+/-,2.59672,2.86174,2.99%,+/-,2.64%,1.10206256765
HLT_LooseIsoPFTau50_Trk30_eta2p1,"HIG,TAU,EXO","OnlineMonitor,Tau",L1_QuadJetC36_Tau52,42,L1_QuadJetC36_Tau52,50,2,2,5656,13,1.06000,+/-,0.01409,0.45802,+/-,0.12703,0.60198,56.79%,+/-,5.35%,4.73874053016
HLT_JetE70_NoBPTX3BX,"EXO","OnlineMonitor,NoBPTX",L1_SingleJetC32_NotBptxOR_3BX||L1_SingleJetC36_NotBptxOR_3BX,0||1,L1_SingleJetC32_NotBptx||_3BX||L1_SingleJetC36_NotBptx||_3BX,0||_3BX||0||_3BX,1,1,3040,13,0.57000,+/-,0.01034,0.91605,+/-,0.25407,0.34605,37.78%,+/-,17.29%,1.36203885603
HLT_Ele23_CaloIdL_TrackIdL_IsoVL,"HIG","OnlineMonitor,DoubleEG",L1_SingleEG18||L1_SingleEG24,2500||1500,L1_SingleEG18||L1_SingleEG24,3000||2000,5,5,4147,9,0.78000,+/-,0.01211,0.12684,+/-,0.04228,0.65316,83.74%,+/-,1.79%,15.4488224299
HLT_Photon300_NoHE,"HIG","OnlineMonitor,SinglePhoton",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1,1,1,10016,28,1.88000,+/-,0.01878,1.97303,+/-,0.37287,0.09303,4.71%,+/-,18.03%,0.249487637125
HLT_Ele36_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1,"Tau,HIG,EXO","OnlineMonitor,SingleElectron",L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleEG40,0||1||1,L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleEG40,0||0||1,1,1,62574,156,11.77000,+/-,0.04705,10.99257,+/-,0.88011,0.77743,6.61%,+/-,7.00%,0.883330947636
HLT_HISinglePhoton20,"HIN","OnlineMonitor,HINPhoton",L1_SingleEG2_BptxAND,0,L1_SingleEG2_BptxAND,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
DST_HT250_CaloBTagScouting,"HIN","OnlineMonitor,HINPhoton",L1_SingleEG2_BptxAND,0,L1_SingleEG2_BptxAND,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_HT350_DisplacedDijet80_DisplacedTrack,"EXO","OnlineMonitor,DisplacedJet",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,7500||0||5000||0||1||1||1||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,9500||0||6500||0||0||0||1||1||1,1,1,4997,12,0.94000,+/-,0.01330,0.84558,+/-,0.24410,0.09442,10.04%,+/-,23.40%,0.38680093885
HLT_PFHT450_SixJet40_BTagCSV_p056,"HIG","OnlineMonitor,JetHT",L1_HTT280||L1_HTT300,1||1,L1_HTT280||L1_HTT300,1||1,1,1,67355,169,12.67000,+/-,0.04882,11.90862,+/-,0.91605,0.76138,6.01%,+/-,6.81%,0.831158590899
HLT_Mu20_Mu10_SameSign,"Higgs","OnlineMonitor,DoubleMuon",L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,1,1,20372,49,3.83000,+/-,0.02683,3.45279,+/-,0.49326,0.37721,9.85%,+/-,11.63%,0.764724165561
HLT_Photon175,"Egamma","OnlineMonitor,SinglePhoton",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1,1,1,46400,125,8.73000,+/-,0.04053,8.80815,+/-,0.78782,0.07815,0.89%,+/-,8.88%,0.0991974925111
HLT_HcalPhiSym,"null","OnlineMonitor,HcalNZS",L1_SingleEG5||L1_SingleEG24||L1_SingleMuOpen,43000||1500||16000,L1_SingleEG5||L1_SingleEG24||L1_SingleMuOpen,50000||2000||20000,1,1,326,0,0.06000,+/-,0.00332,0.00000,+/-,0.00000,0.06000,100.00%,+/-,5.54%,No rates in Steam
HLT_PFMETNoMu90_PFMHTNoMu90_IDTight,"EXO","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||100||0||1||1||1||1||1||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||150||0||0||1||0||1||0||1||0||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_ZeroBias_FirstCollisionAfterAbortGap_TCDS,"null","OnlineMonitor,ExpressPhysics,ZeroBias",,,,,10,1,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Mu15_IsoVVVL_PFHT350_PFMET50,"SUS","OnlineMonitor,SingleMuon",L1_SingleMuOpen,16000,L1_SingleMuOpen,20000,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Ele15_IsoVVVL_BTagCSV_p067_PFHT400,"SUS","OnlineMonitor,SingleElectron",L1_SingleEG5,43000,L1_SingleEG5,50000,10,10,1517,7,0.29000,+/-,0.00745,0.04933,+/-,0.01864,0.24067,82.99%,+/-,2.79%,12.9094013023
