Path,Group,Dataset,L1Path,L1Prescale(9.5e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(9.5e33),Steam hltPrescale,Wbm Count,Steam Count,,Data Rate (Hz),,,Steam Rate (Hz),,abs(Data-Steam)(Hz),,Bias : (data-steam)/max(data;steam),,Pull
HLT_MET200,"Exotica ","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,0||100||0||1||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,0||150||0||1||1||1||1,1,1,23825,59,4.48000,+/-,0.02902,4.15745,+/-,0.54125,0.32255,7.20%,+/-,11.23%,0.595937184914
HLT_Dimuon13_Upsilon,"BPH","OnlineMonitor,MuOnia",L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1||1,L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1||1,1,1,49107,137,9.24000,+/-,0.04170,9.65373,+/-,0.82477,0.41373,4.29%,+/-,8.19%,0.501631547479
HLT_QuadJet45_TripleBTagCSV_p087,"HIG ,Hbb","OnlineMonitor,BTagCSV",L1_QuadJetC50||L1_QuadJetC60||L1_HTT280||L1_HTT300||L1_HTT320||L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF,1||1||1||1||1||1||1||1,L1_QuadJetC50||L1_QuadJetC60||L1_HTT280||L1_HTT300||L1_HTT320||L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF,1||1||1||1||1||1||1||1,1,1,126412,316,23.79000,+/-,0.06691,22.26700,+/-,1.25262,1.52300,6.40%,+/-,4.94%,1.21585158086
HLT_DoubleEle33_CaloIdL_MW,"EXO","OnlineMonitor,DoubleEG",L1_SingleEG26||L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,210||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1,L1_SingleEG26||L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,300||1||1||1||1||1||1||1||1||1||1||1||1||1||1||0||1||1||1||1||1,1,1,55121,144,10.37000,+/-,0.04417,10.14699,+/-,0.84558,0.22301,2.15%,+/-,7.99%,0.263736448548
HLT_AK4CaloJet80,"HIN","OnlineMonitor,HINCaloJets",L1_SingleJet35,2200,L1_SingleJet35,3000,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Ele25_WPTight_Gsf,"EGM","OnlineMonitor,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_IsoMu20,"SMP,MUO","OnlineMonitor,ExpressPhysics,SingleMuon",L1_SingleMu18,1,L1_SingleMu18,100,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_IsoMu22,"SMP,Top,Higgs ,MUO","OnlineMonitor,SingleMuon",L1_SingleMu20,1,L1_SingleMu20,1,1,1,662440,1751,124.64000,+/-,0.15314,123.38457,+/-,2.94861,1.25543,1.01%,+/-,2.35%,0.425770090892
HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg,"TAU,HIG,EXO","OnlineMonitor,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1,1,1,13002,28,2.45000,+/-,0.02149,1.97303,+/-,0.37287,0.47697,19.47%,+/-,12.29%,1.27920839557
HLT_IsoMu24,"SMP,Top,Higgs ,MUO","OnlineMonitor,ExpressPhysics,SingleMuon",L1_SingleMu22,1,L1_SingleMu22,1,1,1,567788,1501,106.83000,+/-,0.14178,105.76827,+/-,2.73002,1.06173,0.99%,+/-,2.53%,0.388910572606
