Path,L1Path,L1Prescale(2e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(2e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg,L1_DoubleIsoTau28er,1,L1_DoubleIsoTau28er OR L1_DoubleIsoTau32er OR L1_DoubleIsoTau36er OR L1_DoubleIsoTau40er OR L1_DoubleTauJet40er, 1|1|1|1|1,1,1,5.75,+/-,0.02,5.24,+/-,0.23,5.24,+/-,0.23,8.86%,+/-,3.68%
HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV0p45,L1_SingleJet200 OR L1_SingleJet176,1 | 1,L1_SingleJet176 OR L1_SingleJet200, 1|1,1,1,5.66,+/-,0.02,5.27,+/-,0.23,5.27,+/-,0.23,6.87%,+/-,3.84%
HLT_BTagMu_DiJet40_Mu5,L1_Mu3_JetC16_WdEtaPhi2,50,L1_Mu3_JetC16_WdEtaPhi2, 50,1,1,5.51,+/-,0.02,5.62,+/-,0.24,5.62,+/-,0.24,1.98%,+/-,4.20%
HLT_Dimuon16_Jpsi,L1_DoubleMu_10_0_WdEta18,1,L1_DoubleMu_10_0_WdEta18, 1,1,1,5.42,+/-,0.02,4.95,+/-,0.23,4.95,+/-,0.23,8.68%,+/-,3.80%
HLT_DoubleMu4_JpsiTrk_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 60,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,5.41,+/-,0.02,5.34,+/-,0.23,5.34,+/-,0.23,1.24%,+/-,4.28%
HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,5.31,+/-,0.02,4.24,+/-,0.21,4.24,+/-,0.21,20.05%,+/-,3.15%
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200,L1_TripleJet_92_76_64_VBF,1,L1_TripleJet_92_76_64_VBF OR L1_TripleJet_84_68_48_VBF OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_DoubleJetC84, 1|1|1|1|1|1|1|1,1,1,5.18,+/-,0.02,5.04,+/-,0.23,5.04,+/-,0.23,2.70%,+/-,4.28%
HLT_PFHT800,L1_HTT125 OR L1_HTT100,1 | 1,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,1,1,5.15,+/-,0.02,4.49,+/-,0.21,4.49,+/-,0.21,12.86%,+/-,3.64%
HLT_BTagMu_DiJet110_Mu5,L1_Mu3_JetC52_WdEtaPhi2,3,L1_Mu3_JetC52_WdEtaPhi2, 3,1,1,5.11,+/-,0.02,4.67,+/-,0.22,4.67,+/-,0.22,8.47%,+/-,3.93%
HLT_L2Mu10,L1_SingleMu16,1,L1_SingleMu16, 1,200,200,5.03,+/-,0.01,994.34,+/-,3.19,4.97,+/-,0.02,1.16%,+/-,0.43%
