Prescale,Path,Dataset,Group,,Total,,,HLTPhysics0,,,HLTPhysics1,
1,HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v3,"OnlineMonitor,DoubleMuon",MUO,18.35,+/-,1.20,19.53,+/-,1.75,17.17,+/-,1.64
1,HLT_Mu55_v3,"OnlineMonitor,SingleMuon",EXO,18.03,+/-,1.19,18.59,+/-,1.71,17.48,+/-,1.66
1,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,"OnlineMonitor,JetHT",HIG,18.03,+/-,1.19,21.26,+/-,1.83,14.81,+/-,1.53
1,HLT_DoubleJetsC100_DoubleBTagCSV_p014_DoublePFJetsC100MaxDeta1p6_v3,"OnlineMonitor,BTagCSV","HIG,Analysis",17.88,+/-,1.19,16.70,+/-,1.62,19.06,+/-,1.73
1,HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq240_v3,"OnlineMonitor,HLTMonitor,BTagCSV","HIG,Hbb",17.80,+/-,1.18,18.11,+/-,1.69,17.48,+/-,1.66
1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,"OnlineMonitor,ExpressPhysics,DoubleMuon",MUO,17.64,+/-,1.18,17.80,+/-,1.67,17.48,+/-,1.66
1,HLT_Dimuon0_Jpsi_Muon_v4,"OnlineMonitor,Charmonium",BPH,17.40,+/-,1.17,17.96,+/-,1.68,16.85,+/-,1.63
1,HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_v5,"OnlineMonitor,MET","EXO,SUS",16.22,+/-,1.13,15.91,+/-,1.58,16.54,+/-,1.61
1,HLT_Ele115_CaloIdVT_GsfTrkIdT_v6,"OnlineMonitor,SingleElectron",EXO,15.99,+/-,1.12,15.59,+/-,1.57,16.38,+/-,1.61
1,HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165_v5,"OnlineMonitor,SingleElectron",B2G,15.67,+/-,1.11,14.96,+/-,1.54,16.38,+/-,1.61
1,HLT_AK8PFJet450_v3,"OnlineMonitor,JetHT",SMP,15.28,+/-,1.10,15.44,+/-,1.56,15.12,+/-,1.54
1,HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v6,"OnlineMonitor,DoubleEG",null,14.81,+/-,1.08,15.44,+/-,1.56,14.18,+/-,1.49
1,HLT_PFHT200_DiPFJetAve90_PFAlphaT0p63_v5,"OnlineMonitor,HTMHT",SUS,14.18,+/-,1.06,13.55,+/-,1.46,14.81,+/-,1.53
1,HLT_Mu30_TkMu11_v3,"OnlineMonitor,DoubleMuon",EXO,14.10,+/-,1.05,14.33,+/-,1.50,13.86,+/-,1.48
1,HLT_PFMET110_PFMHT110_IDTight_v5,"OnlineMonitor,MET","HIG,Hbb",13.86,+/-,1.04,13.70,+/-,1.47,14.02,+/-,1.49
1,HLT_Dimuon20_Jpsi_v4,"OnlineMonitor,Charmonium",BPH,13.78,+/-,1.04,13.70,+/-,1.47,13.86,+/-,1.48
1,HLT_DoubleJetsC100_DoubleBTagCSV_p026_DoublePFJetsC160_v3,"OnlineMonitor,BTagCSV","HIG,Analysis",12.92,+/-,1.01,13.07,+/-,1.43,12.76,+/-,1.42
1,HLT_Dimuon8_Upsilon_Barrel_v5,"OnlineMonitor,MuOnia",BPH,12.84,+/-,1.01,14.33,+/-,1.50,11.34,+/-,1.34
1,HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v8,"OnlineMonitor,ExpressPhysics,HLTMonitor,DoubleEG",HIG,12.76,+/-,1.00,15.12,+/-,1.54,10.40,+/-,1.28
1,HLT_MonoCentralPFJet80_PFMETNoMu110_PFMHTNoMu110_IDTight_v5,"OnlineMonitor,MET",EXO,12.68,+/-,1.00,11.66,+/-,1.35,13.70,+/-,1.47
1,HLT_IsoMu19_eta2p1_LooseIsoPFTau20_SingleL1_v3,"OnlineMonitor,SingleMuon","TAU,HIG",12.60,+/-,1.00,13.86,+/-,1.48,11.34,+/-,1.34
1,HLT_DoubleJetsC112_DoubleBTagCSV_p014_DoublePFJetsC112MaxDeta1p6_v3,"OnlineMonitor,BTagCSV","HIG,Analysis",12.60,+/-,1.00,11.34,+/-,1.34,13.86,+/-,1.48
1,HLT_PFHT650_WideJetMJJ900DEtaJJ1p5_v6,"OnlineMonitor,JetHT",EXO,11.66,+/-,0.96,11.66,+/-,1.35,11.66,+/-,1.35
1,HLT_DoubleEle33_CaloIdL_MW_v7,"OnlineMonitor,DoubleEG",EXO,11.58,+/-,0.95,13.23,+/-,1.44,9.92,+/-,1.25
1,HLT_Photon42_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon25_AND_HE10_R9Id65_Eta2_Mass15_v7,"OnlineMonitor,DoubleEG",EXO long,11.50,+/-,0.95,13.39,+/-,1.45,9.61,+/-,1.23
1,HLT_RsqMR270_Rsq0p09_MR200_v4,"OnlineMonitor,HTMHT",SUS,11.42,+/-,0.95,11.18,+/-,1.33,11.66,+/-,1.35
1,HLT_PFJet450_v7,"OnlineMonitor,JetHT","SMP,B2G,BTV",11.42,+/-,0.95,11.50,+/-,1.35,11.34,+/-,1.34
1,HLT_AK8PFJet360_TrimMass30_v5,"OnlineMonitor,JetHT",B2G,11.34,+/-,0.95,10.24,+/-,1.27,12.44,+/-,1.40
1,HLT_LooseIsoPFTau50_Trk30_eta2p1_MET90_v3,"OnlineMonitor,Tau",null,11.34,+/-,0.95,11.03,+/-,1.32,11.66,+/-,1.35
1,HLT_PFMET170_HBHECleaned_v6,"OnlineMonitor,EventDisplay,MET",JME,11.10,+/-,0.94,11.03,+/-,1.32,11.18,+/-,1.33
1,HLT_Photon165_HE10_v7,"OnlineMonitor,SinglePhoton",EGM,10.95,+/-,0.93,12.29,+/-,1.39,9.61,+/-,1.23
1,HLT_Mu17_Mu8_SameSign_v3,"OnlineMonitor,DoubleMuon",null,10.79,+/-,0.92,12.13,+/-,1.38,9.45,+/-,1.22
1,HLT_IsoMu21_eta2p1_LooseIsoPFTau20_SingleL1_v3,"OnlineMonitor,SingleMuon","TAU,HIG",10.71,+/-,0.92,11.50,+/-,1.35,9.92,+/-,1.25
1,HLT_Photon175_v7,"OnlineMonitor,SinglePhoton",EGM,10.71,+/-,0.92,11.18,+/-,1.33,10.24,+/-,1.27
1,HLT_Ele36_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v1,"OnlineMonitor,SingleElectron","Tau,HIG,EXO",10.55,+/-,0.91,10.55,+/-,1.29,10.55,+/-,1.29
1,HLT_DoubleJetsC112_DoubleBTagCSV_p026_DoublePFJetsC172_v3,"OnlineMonitor,BTagCSV","HIG,Analysis",10.47,+/-,0.91,10.55,+/-,1.29,10.40,+/-,1.28
1,HLT_Dimuon0_Upsilon_Muon_v4,"OnlineMonitor,MuOnia",BPH,10.47,+/-,0.91,11.18,+/-,1.33,9.77,+/-,1.24
1,HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_BTagCSV_p067_v4,"OnlineMonitor,MET","HIG,Hbb",9.84,+/-,0.88,10.24,+/-,1.27,9.45,+/-,1.22
1,HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_MW_v9,"OnlineMonitor,EventDisplay,DoubleEG",EXO,9.84,+/-,0.88,11.81,+/-,1.36,7.88,+/-,1.11
1,HLT_Ele20_eta2p1_WPLoose_Gsf_LooseIsoPFTau28_v1,"OnlineMonitor,SingleElectron","Tau,HIG,EXO",9.69,+/-,0.87,10.08,+/-,1.26,9.29,+/-,1.21
1,HLT_Ele27_eta2p1_WPLoose_Gsf_HT200_v7,"OnlineMonitor,SingleElectron",ttH,9.69,+/-,0.87,9.45,+/-,1.22,9.92,+/-,1.25
1,HLT_IsoMu19_eta2p1_LooseIsoPFTau20_v3,"OnlineMonitor,SingleMuon","TAU,HIG",9.69,+/-,0.87,9.77,+/-,1.24,9.61,+/-,1.23
150,HLT_ZeroBias_v4,"OnlineMonitor,ExpressPhysics,ZeroBias",null,9.65,+/-,0.07,10.03,+/-,0.10,9.27,+/-,0.10
1,HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v5,"OnlineMonitor,MET",EXO,9.61,+/-,0.87,8.35,+/-,1.15,10.87,+/-,1.31
1,HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose_v3,"OnlineMonitor,SingleMuon",EXO,9.53,+/-,0.87,10.71,+/-,1.30,8.35,+/-,1.15
1,HLT_DoubleMu4_3_Bs_v5,"OnlineMonitor,Charmonium",null,9.37,+/-,0.86,11.18,+/-,1.33,7.56,+/-,1.09
1,HLT_PFHT650_WideJetMJJ950DEtaJJ1p5_v6,"OnlineMonitor,JetHT",EXO,9.37,+/-,0.86,9.14,+/-,1.20,9.61,+/-,1.23
1,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq500_v3,"OnlineMonitor,HLTMonitor,BTagCSV","HIG,Hbb",9.21,+/-,0.85,9.14,+/-,1.20,9.29,+/-,1.21
1,HLT_PFMET170_HBHE_BeamHaloCleaned_v2,"OnlineMonitor,MET",JME,9.06,+/-,0.84,9.77,+/-,1.24,8.35,+/-,1.15
1,HLT_ZeroBias_FirstCollisionAfterAbortGap_v3,"OnlineMonitor,ExpressPhysics,ZeroBias",null,8.82,+/-,0.83,10.24,+/-,1.27,7.40,+/-,1.08
1,HLT_Mu17_Photon30_CaloIdL_L1ISO_v7,"OnlineMonitor,MuonEG",HIG,8.74,+/-,0.83,9.14,+/-,1.20,8.35,+/-,1.15
1,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,"OnlineMonitor,MuonEG",HIG,8.74,+/-,0.83,8.98,+/-,1.19,8.51,+/-,1.16
1,HLT_PFHT300_PFMET110_v4,"OnlineMonitor,HTMHT","SUS,EXO",8.58,+/-,0.82,8.51,+/-,1.16,8.66,+/-,1.17
1,HLT_AK8PFJet500_v3,"OnlineMonitor,JetHT",SMP,8.58,+/-,0.82,8.82,+/-,1.18,8.35,+/-,1.15
1,HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau29_v1,"OnlineMonitor,SingleElectron","Tau,HIG,EXO",8.51,+/-,0.82,8.82,+/-,1.18,8.19,+/-,1.14
1,HLT_Mu40_TkMu11_v3,"OnlineMonitor,EventDisplay,DoubleMuon",EXO,8.51,+/-,0.82,9.14,+/-,1.20,7.88,+/-,1.11
1,HLT_MonoCentralPFJet80_PFMETNoMu120_PFMHTNoMu120_IDTight_v5,"OnlineMonitor,MET",EXO,8.43,+/-,0.81,7.09,+/-,1.06,9.77,+/-,1.24
1,HLT_CaloJet500_NoJetID_v4,"OnlineMonitor,JetHT",null,8.35,+/-,0.81,8.66,+/-,1.17,8.03,+/-,1.12
