Path,L1Path,L1Prescale(1e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(1e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_Mu45_eta2p1,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,6.36,+/-,0.03,6.62,+/-,0.31,6.62,+/-,0.31,3.94%,+/-,4.48%
HLT_PFHT650,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,2,2,6.25,+/-,0.03,11.89,+/-,0.41,5.94,+/-,0.21,4.96%,+/-,3.16%
HLT_DoubleMu4_3_Jpsi_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 30,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,6.23,+/-,0.03,6.09,+/-,0.29,6.09,+/-,0.29,2.27%,+/-,4.65%
HLT_Ele23_WPLoose_Gsf_CentralPFJet30_BTagCSV07,L1_SingleEG20,1,L1_SingleEG20 OR L1_SingleIsoEG18er OR L1_SingleIsoEG20 OR L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 1|1|1|2|1|1,1,1,6.01,+/-,0.03,6.24,+/-,0.30,6.24,+/-,0.30,3.81%,+/-,4.62%
HLT_PFHT600,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,3,3,5.98,+/-,0.03,17.32,+/-,0.50,5.77,+/-,0.17,3.43%,+/-,2.72%
HLT_Ele27_WPLoose_Gsf_CentralPFJet30_BTagCSV07,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1,L1_SingleIsoEG20er OR L1_SingleEG20 OR L1_SingleEG25, 2|1|1,1,1,5.63,+/-,0.03,6.17,+/-,0.30,6.17,+/-,0.30,8.75%,+/-,4.41%
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1,L1_SingleMuOpen_NotBptxOR, 1,15,15,5.57,+/-,0.03,85.32,+/-,1.10,5.69,+/-,0.07,1.99%,+/-,1.35%
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200,L1_TripleJet_92_76_64_VBF,1,L1_TripleJet_92_76_64_VBF OR L1_TripleJet_84_68_48_VBF OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_DoubleJetC84, 1|1|1|1|1|1|1|1,1,1,5.51,+/-,0.03,5.63,+/-,0.28,5.63,+/-,0.28,2.13%,+/-,4.95%
HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV0p45,L1_SingleJet200 OR L1_SingleJet176,1 | 1,L1_SingleJet176 OR L1_SingleJet200, 1|1,1,1,5.37,+/-,0.03,5.17,+/-,0.27,5.17,+/-,0.27,3.61%,+/-,4.91%
HLT_Mu8,L1_SingleMu7 OR L1_SingleMu5,25 | 20,L1_SingleMu5 OR L1_SingleMu7, 20|25,60,60,5.24,+/-,0.03,317.58,+/-,2.13,5.29,+/-,0.04,1.01%,+/-,0.83%
HLT_Ele30WP60_Ele8_Mass55,L1_SingleEG25,1,L1_SingleEG25 OR L1_SingleIsoEG30er, 1|1,1,1,4.79,+/-,0.02,5.06,+/-,0.27,5.06,+/-,0.27,5.36%,+/-,5.05%
HLT_Dimuon16_Jpsi,L1_DoubleMu_10_0_WdEta18,1,L1_DoubleMu_10_0_WdEta18, 1,1,1,4.74,+/-,0.02,4.69,+/-,0.26,4.69,+/-,0.26,1.04%,+/-,5.43%
HLT_PFJet260,L1_SingleJet128 OR L1_SingleJet200,1 | 1,L1_SingleJet128 OR L1_SingleJet200, 1|1,6,6,4.71,+/-,0.02,27.75,+/-,0.63,4.62,+/-,0.10,1.79%,+/-,2.25%
HLT_DoubleMu4_JpsiTrk_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 30,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,4.69,+/-,0.02,4.53,+/-,0.25,4.53,+/-,0.25,3.46%,+/-,5.26%
HLT_PFHT800,L1_HTT125 OR L1_HTT100,1 | 1,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,1,1,4.59,+/-,0.02,4.63,+/-,0.26,4.63,+/-,0.26,0.95%,+/-,5.53%
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1,L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 2|1|1,1,1,4.55,+/-,0.02,4.92,+/-,0.27,4.92,+/-,0.27,7.49%,+/-,5.01%
HLT_Ele15_IsoVVVL_PFHT350,L1_SingleEG5,1,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,1,1,4.50,+/-,0.02,4.93,+/-,0.27,4.93,+/-,0.27,8.81%,+/-,4.93%
HLT_PFMET90_PFMHT90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,4.49,+/-,0.02,5.12,+/-,0.27,5.12,+/-,0.27,12.24%,+/-,4.66%
HLT_Mu50,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,4.46,+/-,0.02,4.60,+/-,0.26,4.60,+/-,0.26,3.05%,+/-,5.43%
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,L1_DoubleEG_22_10,1,L1_DoubleEG_22_10, 1,1,1,4.40,+/-,0.02,4.04,+/-,0.24,4.04,+/-,0.24,8.02%,+/-,5.06%
HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg,L1_DoubleIsoTau28er,1,L1_DoubleIsoTau28er OR L1_DoubleIsoTau32er OR L1_DoubleIsoTau36er OR L1_DoubleIsoTau40er OR L1_DoubleTauJet40er, 1|1|1|1|1,1,1,4.36,+/-,0.02,4.37,+/-,0.25,4.37,+/-,0.25,0.23%,+/-,5.73%
HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV0p45,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,4.34,+/-,0.02,4.02,+/-,0.24,4.02,+/-,0.24,7.42%,+/-,5.14%
HLT_AK8PFHT650_TrimR0p1PT0p03Mass50,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,4.28,+/-,0.02,4.20,+/-,0.25,4.20,+/-,0.25,1.78%,+/-,5.65%
HLT_RsqMR240_Rsq0p09_MR200,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT75 OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_SingleJet176 OR L1_SingleJet200 OR L1_DoubleJetC84 OR L1_DoubleJetC100 OR L1_QuadJetC40 OR L1_QuadJetC60, 1|1|1|1|1|1|1|1|1|1|1|1,1,1,4.25,+/-,0.02,4.14,+/-,0.24,4.14,+/-,0.24,2.52%,+/-,5.61%
HLT_PFHT200_DiPFJetAve90_PFAlphaT0p57,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT75 OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_HTT200 OR L1_HTT250 OR L1_ETM40 OR L1_ETM50 OR L1_ETM60 OR L1_ETM70 OR L1_ETM100, 1|1|1|1|1|1|1|1000|1|1|1|1,1,1,4.11,+/-,0.02,4.06,+/-,0.24,4.06,+/-,0.24,1.29%,+/-,5.81%
HLT_PFMETNoMu90_PFMHTNoMu90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,4.08,+/-,0.02,4.32,+/-,0.25,4.32,+/-,0.25,5.51%,+/-,5.46%
HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,4.07,+/-,0.02,4.32,+/-,0.25,4.32,+/-,0.25,5.73%,+/-,5.45%
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF,L1_SingleEG30,1,L1_SingleEG30, 1,1,1,4.05,+/-,0.02,4.12,+/-,0.24,4.12,+/-,0.24,1.52%,+/-,5.83%
HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoublePFBTagCSV0p7_Mbb60_200,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT75 OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_SingleJet176 OR L1_SingleJet200 OR L1_DoubleJetC84 OR L1_DoubleJetC100 OR L1_QuadJetC40 OR L1_QuadJetC60, 1|1|1|1|1|1|1|1|1|1|1|1,1,1,4.03,+/-,0.02,3.77,+/-,0.23,3.77,+/-,0.23,6.48%,+/-,5.41%
HLT_IsoMu16_eta2p1_MET30,L1_Mu14er_ETM30 OR L1_Mu10er_ETM30,1 | 1,L1_Mu10er_ETM30 OR L1_Mu14er_ETM30, 1|1,1,1,3.71,+/-,0.02,3.43,+/-,0.22,3.43,+/-,0.22,7.49%,+/-,5.56%
HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg,L1_DoubleIsoTau28er,1,L1_DoubleIsoTau28er OR L1_DoubleIsoTau32er OR L1_DoubleIsoTau36er OR L1_DoubleIsoTau40er OR L1_DoubleTauJet40er, 1|1|1|1|1,1,1,3.58,+/-,0.02,3.66,+/-,0.23,3.66,+/-,0.23,2.08%,+/-,6.15%
HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL,L1_Mu5_EG15,1,L1_Mu5_EG15, 1,1,1,3.49,+/-,0.02,3.54,+/-,0.23,3.54,+/-,0.23,1.41%,+/-,6.29%
HLT_Dimuon0_Phi_Barrel,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 30,L1_DoubleMu0_Eta1p6_WdEta18, 1,1,1,3.48,+/-,0.02,3.64,+/-,0.23,3.64,+/-,0.23,4.46%,+/-,6.01%
HLT_LooseIsoPFTau50_Trk30_eta2p1_MET80,L1_ETM50 OR L1_ETM60 OR L1_ETM70,1 | 1 | 1,L1_ETM50 OR L1_ETM60 OR L1_ETM70, 1|1|1,1,1,3.46,+/-,0.02,3.10,+/-,0.21,3.10,+/-,0.21,10.35%,+/-,5.49%
HLT_MonoCentralPFJet80_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,3.41,+/-,0.02,3.54,+/-,0.23,3.54,+/-,0.23,3.79%,+/-,6.14%
HLT_MonoCentralPFJet80_PFMETNoMu90_PFMHTNoMu90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,3.41,+/-,0.02,3.54,+/-,0.23,3.54,+/-,0.23,3.79%,+/-,6.14%
HLT_Mu27_TkMu8,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,3.39,+/-,0.02,3.20,+/-,0.21,3.20,+/-,0.21,5.66%,+/-,5.98%
HLT_PFJet320,L1_SingleJet128 OR L1_SingleJet200,1 | 1,L1_SingleJet128 OR L1_SingleJet200, 1|1,3,3,3.38,+/-,0.02,9.73,+/-,0.37,3.24,+/-,0.12,4.04%,+/-,3.58%
HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20,L1_SingleIsoEG22er,1,L1_SingleIsoEG22er OR L1_SingleEG25, 1|1,1,1,3.38,+/-,0.02,3.74,+/-,0.23,3.74,+/-,0.23,9.83%,+/-,5.60%
HLT_Ele35_CaloIdVT_GsfTrkIdT_PFJet150_PFJet50,L1_SingleEG25,1,L1_SingleEG25, 1,1,1,3.36,+/-,0.02,3.63,+/-,0.23,3.63,+/-,0.23,7.54%,+/-,5.83%
HLT_AK8PFHT700_TrimR0p1PT0p03Mass50,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,3.31,+/-,0.02,3.29,+/-,0.22,3.29,+/-,0.22,0.70%,+/-,6.53%
HLT_DiPFJetAve200,L1_SingleJet128,1,L1_SingleJet128, 1,16,16,3.30,+/-,0.02,51.54,+/-,0.86,3.22,+/-,0.05,2.39%,+/-,1.70%
HLT_PFJet400,L1_SingleJet128 OR L1_SingleJet200,1 | 1,L1_SingleJet128 OR L1_SingleJet200, 1|1,1,1,3.26,+/-,0.02,3.19,+/-,0.21,3.19,+/-,0.21,2.32%,+/-,6.42%
HLT_Photon75_R9Id90_HE10_IsoM,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEg25 OR L1_SingleEG40, -1||1,2,2,3.25,+/-,0.02,6.76,+/-,0.31,3.38,+/-,0.16,3.98%,+/-,4.46%
HLT_Ele105_CaloIdVT_GsfTrkIdT,L1_SingleEG35 OR L1_SingleEG40,1 | 1,L1_SingleEG35 OR L1_SingleEG40 OR L1_SingleJet200, 1|1|1,1,1,3.21,+/-,0.02,3.52,+/-,0.22,3.52,+/-,0.22,8.73%,+/-,5.85%
HLT_Photon90_R9Id90_HE10_IsoM,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEg25 OR L1_SingleEG40, -1||1,1,1,3.20,+/-,0.02,3.60,+/-,0.23,3.60,+/-,0.23,11.24%,+/-,5.62%
