file1:	frozen_2015_25ns14e33_v4.4_HLT_V1_Rate_v2_hltmenu_13TeV_2.0e33_20151017_p.tsv
file2:	frozen_2015_25ns14e33_v4.4_HLT_V1_25ns_data_Run_256843_Rates.tsv
	file1						file2			
path	prescale1		rate1			prescale2		rate2				bias
HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Tight_v2	1	0.11	 ±	0.02		1	0.08	 ±	0.01		27.27%	±	16.05%
HLT_IsoMu17_eta2p1_MediumIsoPFTau40_Trk1_eta2p1_Reg_v5	1	0.22	 ±	0.02		1	0.16	 ±	0.02		27.27%	±	11.24%
HLT_Mu14er_PFMET100_v1	1	0.37	 ±	0.04		1	0.27	 ±	0.03		27.03%	±	11.31%
HLT_IsoMu17_eta2p1_MediumIsoPFTau35_Trk1_eta2p1_Reg_v3	1	0.26	 ±	0.02		1	0.19	 ±	0.02		26.92%	±	9.53%
HLT_Mu42NoFiltersNoVtx_Photon42_CaloIdL_v2	1	0.19	 ±	0.02		1	0.14	 ±	0.02		26.32%	±	13.08%
HLT_BTagMu_DiJet70_Mu5_v2	1	22.55	 ±	0.25		1	16.73	 ±	0.21		25.81%	±	1.24%
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT300_v4	1	0.70	 ±	0.04		1	0.52	 ±	0.04		25.71%	±	7.12%
HLT_Mu15_IsoVVVL_BTagCSV0p72_PFHT400_v3	1	0.74	 ±	0.04		1	0.55	 ±	0.04		25.68%	±	6.73%
HLT_Mu12_Photon25_CaloIdL_L1OR_v3	2	3.70	 ±	0.10		2	2.76	 ±	0.08		25.41%	±	2.96%
HLT_HT350_DisplacedDijet80_DisplacedTrack_v2	1	0.08	 ±	0.02		1	0.06	 ±	0.01		25.00%	±	22.53%
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT250_v1	1	1.13	 ±	0.06		1	0.85	 ±	0.05		24.78%	±	5.96%
HLT_TkMu20_v2	100	1.22	 ±	0.06		100	0.92	 ±	0.05		24.59%	±	5.53%
HLT_Mu45_eta2p1_v2	1	7.72	 ±	0.15		1	5.83	 ±	0.12		24.48%	±	2.14%
HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Loose_v2	1	0.37	 ±	0.04		1	0.28	 ±	0.03		24.32%	±	11.52%
HLT_Mu6_PFHT200_PFMET100_v1	1	0.37	 ±	0.04		1	0.28	 ±	0.03		24.32%	±	11.52%
HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Loose_v2	1	0.83	 ±	0.05		1	0.63	 ±	0.04		24.10%	±	6.64%
HLT_Mu15_IsoVVVL_PFHT600_v3	1	0.25	 ±	0.02		1	0.19	 ±	0.02		24.00%	±	10.05%
HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose_v2	1	0.88	 ±	0.05		1	0.68	 ±	0.04		22.73%	±	6.32%
HLT_BTagMu_DiJet110_Mu5_v2	1	5.66	 ±	0.13		1	4.38	 ±	0.11		22.61%	±	2.63%
HLT_Photon50_v3	360	0.62	 ±	0.04		360	0.48	 ±	0.04		22.58%	±	8.16%
HLT_Ele17_CaloIdL_TrackIdL_IsoVL_v2	11	27.89	 ±	0.28		11	21.64	 ±	0.24		22.41%	±	1.16%
HLT_PFMET120_Mu5_v1	1	0.27	 ±	0.03		1	0.21	 ±	0.02		22.22%	±	11.38%
HLT_Mu23NoFiltersNoVtx_Photon23_CaloIdL_v2	5	0.36	 ±	0.03		5	0.28	 ±	0.03		22.22%	±	10.56%
HLT_Mu3er_PFHT140_PFMET125_v1	1	0.23	 ±	0.03		1	0.18	 ±	0.02		21.74%	±	13.41%
HLT_Mu6_PFHT200_PFMET80_BTagCSV0p72_v1	1	0.56	 ±	0.04		1	0.44	 ±	0.03		21.43%	±	7.76%
HLT_Photon22_R9Id90_HE10_IsoM_v2	800	0.94	 ±	0.06		800	0.75	 ±	0.04		20.21%	±	6.64%
HLT_MET60_IsoTrk35_Loose_v1	70	0.04	 ±	0.01		70	0.05	 ±	0.01		20.00%	±	25.61%
HLT_BTagMu_Jet300_Mu5_v2	1	0.90	 ±	0.06		1	0.72	 ±	0.04		20.00%	±	6.94%
HLT_HT350_DisplacedDijet80_Tight_DisplacedTrack_v2	1	0.05	 ±	0.01		1	0.04	 ±	0.01		20.00%	±	25.61%
HLT_Mu30_eta2p1_PFJet150_PFJet50_v1	1	1.98	 ±	0.08		1	1.60	 ±	0.06		19.19%	±	4.45%
HLT_HT275_v1	1100	0.47	 ±	0.04		1100	0.38	 ±	0.03		19.15%	±	9.39%
HLT_PFJet200_v4	120	1.03	 ±	0.06		120	0.84	 ±	0.05		18.45%	±	6.79%
