Prescale	Path	Group	Total			HLTPhysics1			HLTPhysics2			HLTPhysics3			HLTPhysics4		
1	HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1	HIG,SMP	3.08	±	0.09	0.75	±	0.04	0.86	±	0.05	0.73	±	0.04	0.74	±	0.04
1	HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v1	HIG	3.07	±	0.09	0.80	±	0.05	0.69	±	0.04	0.74	±	0.04	0.84	±	0.05
1	HLT_LooseIsoPFTau50_Trk30_eta2p1_MET80_v1	TAU,HIG	3.05	±	0.09	0.70	±	0.04	0.77	±	0.04	0.82	±	0.05	0.76	±	0.04
1	HLT_RsqMR240_Rsq0p09_MR200_v2	SUSY	3.01	±	0.09	0.74	±	0.04	0.77	±	0.04	0.78	±	0.04	0.72	±	0.04
1	HLT_Dimuon8_Upsilon_Barrel_v2	BPH	3.00	±	0.09	0.70	±	0.04	0.77	±	0.04	0.75	±	0.04	0.78	±	0.04
1	HLT_Ele105_CaloIdVT_GsfTrkIdT_v3	EXO,B2G	2.95	±	0.09	0.69	±	0.04	0.75	±	0.04	0.68	±	0.04	0.83	±	0.05
1	HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF_v2	HIG	2.93	±	0.09	0.73	±	0.04	0.71	±	0.04	0.72	±	0.04	0.77	±	0.04
1	HLT_VBF_DisplacedJet40_Hadronic_2PromptTrack_v2	EXO	2.92	±	0.09	0.73	±	0.04	0.74	±	0.04	0.69	±	0.04	0.76	±	0.04
5	HLT_PFHT650_v3	SUSY,EXO	2.92	±	0.09	0.79	±	0.05	0.72	±	0.04	0.66	±	0.04	0.75	±	0.04
4	HLT_PFJet320_v4	SMP,BTV	2.83	±	0.09	0.72	±	0.04	0.6311411322	±	0.04048772251	0.7090597905	±	0.04291425075	0.7713947171	±	0.04476086139
1	HLT_Mu27_TkMu8_v2	EXO,B2G	2.79	±	0.09	0.75	±	0.04	0.70	±	0.04	0.68	±	0.04	0.67	±	0.04
2	HLT_Mu12_Photon25_CaloIdL_L1OR_v3	HIG	2.76	±	0.08	0.66	±	0.04	0.6752950386	±	0.04188002044	0.7402272538	±	0.04384727831	0.6830869044	±	0.04212094297
1	HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1	HIG,SMP	2.72	±	0.08	0.65	±	0.04	0.66	±	0.04	0.67	±	0.04	0.74	±	0.04
1	HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v3	HIG,TAU	2.70	±	0.08	0.67	±	0.04	0.66	±	0.04	0.63	±	0.04	0.74	±	0.04
1	HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55_v1	HIG,SMP	2.65	±	0.08	0.69	±	0.04	0.64	±	0.04	0.63	±	0.04	0.69	±	0.04
125	HLT_Ele12_CaloIdL_TrackIdL_IsoVL_v3	HIG	2.60	±	0.08	0.60	±	0.04	0.66	±	0.04	0.71	±	0.04	0.63	±	0.04
1	HLT_PFMET100_PFMHT100_IDTight_v2	HIG	2.60	±	0.08	0.59	±	0.04	0.70	±	0.04	0.65	±	0.04	0.66	±	0.04
1	HLT_Mu55_v1	EXO	2.53	±	0.08	0.60	±	0.04	0.63	±	0.04	0.61	±	0.04	0.68	±	0.04
1	HLT_PFHT450_SixJet40_v3	HIG	2.47	±	0.08	0.67	±	0.04	0.6363357094	±	0.04065399722	0.5714034942	±	0.03852401572	0.5947790916	±	0.03930410869
2	HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_v3	HIG,SMP	2.40	±	0.08	0.64	±	0.04	0.56	±	0.04	0.57	±	0.04	0.63	±	0.04
1	HLT_Ele27_eta2p1_WPLoose_Gsf_HT200_v2	HIG	2.38	±	0.08	0.54	±	0.04	0.63	±	0.04	0.58	±	0.04	0.63	±	0.04
1	HLT_IsoMu16_eta2p1_MET30_v1	TAU,HIG	2.31	±	0.08	0.57	±	0.04	0.54	±	0.04	0.63	±	0.04	0.57	±	0.04
1	HLT_AK8PFJet360_TrimMass30_v3	B2G	2.27	±	0.08	0.64	±	0.04	0.50	±	0.04	0.54	±	0.04	0.58	±	0.04
1	HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq240_v4	HIG	2.26	±	0.08	0.5480278967	±	0.0377277963	0.5765980714	±	0.0386987287	0.592181803	±	0.03921819797	0.5428333195	±	0.03754856585
1	HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v3	HIG,SMP	2.24	±	0.08	0.58	±	0.04	0.52	±	0.04	0.53	±	0.04	0.61	±	0.04
1	HLT_Mu16_TkMu0_dEta18_Onia_v2	BPH,SMP	2.22	±	0.08	0.57	±	0.04	0.55	±	0.04	0.57	±	0.04	0.52	±	0.04
1	HLT_Photon165_HE10_v3	SMP,SUSY	2.16	±	0.07	0.52	±	0.04	0.50	±	0.04	0.56	±	0.04	0.58	±	0.04
1	HLT_Photon90_CaloIdL_PFHT500_v3	SUSY,EXO	2.14	±	0.07	0.51	±	0.04	0.49	±	0.04	0.52	±	0.04	0.62	±	0.04
1	HLT_MET250_v1	Hotline	2.09	±	0.07	0.52	±	0.04	0.52	±	0.04	0.53	±	0.04	0.51	±	0.04
1	HLT_Mu30_TkMu11_v2	EXO,B2G	2.09	±	0.07	0.56	±	0.04	0.51	±	0.04	0.49	±	0.04	0.52	±	0.04
1	HLT_PFJet450_v4	SMP,B2G,BTV	2.08	±	0.07	0.57	±	0.04	0.46	±	0.03	0.51	±	0.04	0.54	±	0.04
1	HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_v3	EXO	2.07	±	0.07	0.56	±	0.04	0.50	±	0.04	0.49	±	0.04	0.51	±	0.04
1	HLT_Ele115_CaloIdVT_GsfTrkIdT_v2	EXO	2.05	±	0.07	0.49	±	0.04	0.5220550106	±	0.03682292129	0.4649146612	±	0.03474935329	0.57919536	±	0.03878579007
1	HLT_Photon42_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon25_AND_HE10_R9Id65_Eta2_Mass15_v2	EXO	2.03	±	0.07	0.50	±	0.04	0.50	±	0.04	0.48	±	0.04	0.55	±	0.04
1	HLT_HT400_DisplacedDijet40_Inclusive_v2	EXO	2.01	±	0.07	0.52	±	0.04	0.51	±	0.04	0.48	±	0.04	0.50	±	0.04
1	HLT_Photon175_v3	SMP,EXO	1.99	±	0.07	0.47	±	0.03	0.46	±	0.03	0.51	±	0.04	0.54	±	0.04
1	HLT_PFHT200_DiPFJetAve90_PFAlphaT0p63_v2	SUSY	1.98	±	0.07	0.51	±	0.04	0.47	±	0.04	0.50	±	0.04	0.50	±	0.04
1	HLT_DiPFJetAve400_v2	JME	1.96	±	0.07	0.53	±	0.04	0.45	±	0.03	0.48	±	0.04	0.51	±	0.04
1	HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3	HIG	1.94	±	0.07	0.49	±	0.04	0.44	±	0.03	0.47	±	0.03	0.54	±	0.04
1	HLT_PFMET110_PFMHT110_IDTight_v2	HIG	1.93	±	0.07	0.44	±	0.03	0.53	±	0.04	0.45	±	0.03	0.51	±	0.04
1	HLT_Dimuon20_Jpsi_v2	BPH	1.88	±	0.07	0.45	±	0.03	0.49	±	0.04	0.48	±	0.04	0.46	±	0.03
1	HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL_v3	HIG,SMP	1.87	±	0.07	0.48	±	0.04	0.49	±	0.04	0.48	±	0.04	0.42	±	0.03
1	HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v3	HIG,TOP,SMP,B2G	1.86	±	0.07	0.48	±	0.04	0.45	±	0.03	0.43	±	0.03	0.50	±	0.04
1	HLT_VBF_DisplacedJet40_Hadronic_v2	EXO	1.86	±	0.07	0.50	±	0.04	0.43	±	0.03	0.43	±	0.03	0.50	±	0.04
2	HLT_PFJet400_v4	SMP,B2G,BTV	1.83	±	0.07	0.50	±	0.04	0.44	±	0.03	0.42	±	0.03	0.47	±	0.04
4	HLT_Photon75_R9Id90_HE10_IsoM_v3	SMP,SUSY	1.81	±	0.07	0.42	±	0.03	0.50	±	0.04	0.42	±	0.03	0.47	±	0.04
1	HLT_PFHT250_DiPFJetAve90_PFAlphaT0p55_v2	SUSY	1.81	±	0.07	0.46	±	0.03	0.42	±	0.03	0.49	±	0.04	0.44	±	0.03
1	HLT_DoubleMu4_3_Bs_v2	BPH	1.81	±	0.07	0.46	±	0.03	0.42	±	0.03	0.46	±	0.03	0.46	±	0.03
1	HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2	TOP,HIG,SMP,B2G	1.80	±	0.07	0.48	±	0.04	0.47	±	0.04	0.41	±	0.03	0.44	±	0.03
1	HLT_CaloJet500_NoJetID_v2	EXO	1.78	±	0.07	0.47	±	0.03	0.41	±	0.03	0.46	±	0.03	0.45	±	0.03
2	HLT_Photon90_R9Id90_HE10_IsoM_v3	SMP,SUSY	1.77	±	0.07	0.43	±	0.03	0.44	±	0.03	0.45	±	0.03	0.45	±	0.03
1	HLT_PFMETNoMu120_JetIdCleaned_PFMHTNoMu120_IDTight_v2	EXO	1.73	±	0.07	0.39	±	0.03	0.45	±	0.03	0.41	±	0.03	0.48	±	0.04
1	HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v1	EXO	1.73	±	0.07	0.39	±	0.03	0.45	±	0.03	0.41	±	0.03	0.48	±	0.04
35	HLT_DiPFJetAve200_v2	JME	1.73	±	0.07	0.41	±	0.03	0.45	±	0.03	0.45	±	0.03	0.42	±	0.03
1	HLT_PFHT650_WideJetMJJ900DEtaJJ1p5_v3	EXO	1.72	±	0.07	0.47	±	0.04	0.43	±	0.03	0.43	±	0.03	0.38	±	0.03
6	HLT_DiPFJetAve160_HFJEC_v3	JME	1.72	±	0.07	0.44	±	0.03	0.38	±	0.03	0.43	±	0.03	0.46	±	0.03
1	HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v2	TOP,HIG,SMP,B2G	1.70	±	0.07	0.44	±	0.03	0.47	±	0.03	0.38	±	0.03	0.41	±	0.03
1	HLT_PFMET170_JetIdCleaned_v2	SUSY,EXO,B2G	1.70	±	0.07	0.42	±	0.03	0.45	±	0.03	0.41	±	0.03	0.42	±	0.03
1	HLT_MonoCentralPFJet80_PFMETNoMu120_JetIdCleaned_PFMHTNoMu120_IDTight_v2	EXO	1.69	±	0.07	0.38	±	0.03	0.44	±	0.03	0.41	±	0.03	0.47	±	0.03
1	HLT_MonoCentralPFJet80_PFMETNoMu120_PFMHTNoMu120_IDTight_v1	EXO	1.69	±	0.07	0.38	±	0.03	0.44	±	0.03	0.41	±	0.03	0.47	±	0.03
1	HLT_Mu17_Photon22_CaloIdL_L1ISO_v1	HIG	1.68	±	0.07	0.39	±	0.03	0.4545255067	±	0.03435889872	0.3973851573	±	0.03212668584	0.4363444864	±	0.033664708
20	HLT_Photon50_R9Id90_HE10_IsoM_v3	SMP,SUSY	1.66	±	0.07	0.45	±	0.03	0.42	±	0.03	0.38	±	0.03	0.41	±	0.03
1	HLT_PFMET170_NoiseCleaned_v3	SUSY,EXO,B2G	1.66	±	0.07	0.42	±	0.03	0.44	±	0.03	0.40	±	0.03	0.41	±	0.03
1	HLT_IsoMu18_CentralPFJet30_BTagCSV07_v2	TOP	1.64	±	0.07	0.40	±	0.03	0.45	±	0.03	0.41	±	0.03	0.38	±	0.03
1	HLT_Dimuon8_PsiPrime_Barrel_v2	BPH	1.63	±	0.06	0.42	±	0.03	0.3818014256	±	0.03149045084	0.4545255067	±	0.03435889872	0.3740095598	±	0.03116746332
1	HLT_Mu30_eta2p1_PFJet150_PFJet50_v1	B2G	1.60	±	0.06	0.41	±	0.03	0.36	±	0.03	0.37	±	0.03	0.46	±	0.03
1	HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq460_v4	HIG	1.59	±	0.06	0.41	±	0.03	0.43	±	0.03	0.35	±	0.03	0.40	±	0.03
14	HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2	BPH	1.59	±	0.06	0.46	±	0.03	0.37	±	0.03	0.41	±	0.03	0.36	±	0.03
1	HLT_IsoMu17_eta2p1_LooseIsoPFTau20_SingleL1_v4	TAU,HIG	1.59	±	0.06	0.38	±	0.03	0.3843987143	±	0.03159737967	0.412968889	±	0.03275056322	0.4051770231	±	0.03244012434
1	HLT_DoubleJetsC100_DoubleBTagCSV0p9_DoublePFJetsC100MaxDeta1p6_v2	SUSY	1.58	±	0.06	0.39	±	0.03	0.37	±	0.03	0.43	±	0.03	0.40	±	0.03
1	HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu80_v1	HIG	1.55	±	0.06	0.33	±	0.03	0.42	±	0.03	0.41	±	0.03	0.39	±	0.03
