		HLT_AK8PFJet60_v1	SMP		L1_SingleJet35		
		HLT_AK8PFJet80_v1	SMP		L1_SingleJet60		
		HLT_BTagMu_AK8Jet300_Mu5_v2	BTV		L1_SingleJet200		
		HLT_BTagMu_DiJet110_Mu5_v3	BTV		L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4		
		HLT_BTagMu_DiJet170_Mu5_v2	BTV		L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4		
		HLT_BTagMu_DiJet20_Mu5_v3	BTV		L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4		
		HLT_BTagMu_DiJet40_Mu5_v3	BTV		L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4		
		HLT_BTagMu_DiJet70_Mu5_v3	BTV		L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4		
		HLT_BTagMu_Jet300_Mu5_v3	BTV		L1_SingleJet200		
		HLT_CaloJet500_NoJetID_v3	null		L1_SingleJet170||L1_SingleJet180||L1_SingleJet200		
		HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_BTagCSV_p067_v2	HIG (Hbb)		L1_ETM50||L1_ETM60||L1_ETM60_Jet60_dPhi_Min0p4||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_DoubleJetC60_ETM60		
		HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_v3	HIG (Hbb)		L1_ETM50||L1_ETM60||L1_ETM60_Jet60_dPhi_Min0p4||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_DoubleJetC60_ETM60		
		HLT_DiCentralPFJet170_CFMax0p1_v1	EXO.		L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_SingleJet200		
		HLT_DiCentralPFJet170_v1	EXO.		L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_SingleJet200		
		HLT_DiCentralPFJet220_CFMax0p3_v1	EXO.		L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_SingleJet200		
		HLT_DiCentralPFJet330_CFMax0p5_v1	EXO.		L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_SingleJet200		
		HLT_DiCentralPFJet430_v1	EXO.		L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_SingleJet200		
		HLT_DiCentralPFJet55_PFMET110_v2	SUSY		L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100		
		HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v4	HIG		L1_DoubleMu7_EG7		
		HLT_DiPFJet15_FBEta3_NoCaloMatched_v2	FSQ		L1_DoubleJet8_ForwardBackward		
		HLT_DiPFJet15_NoCaloMatched_v2	FSQ		L1_SingleJet8_BptxAND		
		HLT_DiPFJet25_FBEta3_NoCaloMatched_v2	FSQ		L1_DoubleJet12_ForwardBackward		
		HLT_DiPFJet25_NoCaloMatched_v2	FSQ		L1_SingleJet12_BptxAND		
		HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu140_v2	HIG		L1_ETM80||L1_ETM90||L1_ETM100		
		HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu80_v2	HIG,description		L1_ETM50||L1_ETM60		
		HLT_DiPFJetAve100_HFJEC_v4	null		L1_SingleJet60		
		HLT_DiPFJetAve140_v3	JME		L1_SingleJet90		
		HLT_DiPFJetAve15_HFJEC_v2	null		L1_SingleJet8_BptxAND		
		HLT_DiPFJetAve160_HFJEC_v4	null		L1_SingleJet120		
		HLT_DiPFJetAve200_v3	JME		L1_SingleJet120		
		HLT_DiPFJetAve220_HFJEC_v4	null		L1_SingleJet170		
		HLT_DiPFJetAve25_HFJEC_v2	null		L1_SingleJet12_BptxAND		
		HLT_DiPFJetAve260_v3	JME		L1_SingleJet170		
		HLT_DiPFJetAve300_HFJEC_v4	null		L1_SingleJet170		
		HLT_DiPFJetAve320_v3	JME		L1_SingleJet170		
		HLT_DiPFJetAve35_HFJEC_v2	null		L1_SingleJet16		
		HLT_DiPFJetAve400_v3	JME		L1_SingleJet170		
		HLT_DiPFJetAve40_v3			L1_ZeroBias		
		HLT_DiPFJetAve500_v3	JME		L1_SingleJet170		
		HLT_DiPFJetAve60_HFJEC_v4	null		L1_SingleJet35		
		HLT_DiPFJetAve60_v3			L1_ZeroBias		
		HLT_DiPFJetAve80_HFJEC_v4	null		L1_SingleJet60		
		HLT_DiPFJetAve80_v3	JME		L1_SingleJet60		
		HLT_DiSC30_18_EIso_AND_HE_Mass70_v2	null		L1_SingleIsoEG22er||L1_SingleIsoEG24||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_22_12||L1_DoubleEG_15_10		
		HLT_Dimuon0_Jpsi_Muon_v3	BPH		L1_TripleMu0		
		HLT_Dimuon0_Phi_Barrel_v3	BPH		L1_DoubleMu0er1p6_dEta_Max1p8_OS		
		HLT_Dimuon0_Upsilon_Muon_v3	BPH		L1_TripleMu0		
		HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v3	BPH		L1_DoubleMu0er1p6_dEta_Max1p8		
		HLT_Dimuon0er16_Jpsi_NoVertexing_v3	BPH		L1_DoubleMu0er1p6_dEta_Max1p8_OS		
		HLT_Dimuon10_Jpsi_Barrel_v3	BPH,- exp pure rate at 7E33,prescaled to 5		L1_DoubleMu0er1p6_dEta_Max1p8_OS		
		HLT_Dimuon13_PsiPrime_v3	BPH		L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu_11_4		
		HLT_Dimuon13_Upsilon_v3	BPH		L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu_11_4		
		HLT_Dimuon16_Jpsi_v3	BPH		L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu_11_4		
		HLT_Dimuon20_Jpsi_v3	BPH		L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu_11_4		
		HLT_Dimuon6_Jpsi_NoVertexing_v3	BPH		L1_DoubleMu0		
		HLT_Dimuon8_PsiPrime_Barrel_v3	BPH		L1_DoubleMu0er1p6_dEta_Max1p8_OS		
		HLT_Dimuon8_Upsilon_Barrel_v3	BPH,- exp pure rate at 7E33,prescaled to 2		L1_DoubleMu0er1p6_dEta_Max1p8_OS		
