Path,,Data Rate (Hz),,,Data Rate scaled (Hz),,,Steam Rate (Hz),,,Data - Steam (Hz),,,(Data - Steam)/Steam
HLT_VBF_DisplacedJet40_Hadronic,1.730000,+/-,0.026998,1.874533,+/-,0.029254,0.000000,+/-,0.000000,1.874533,+/-,0.029254,999.000000,+/-,0.000000
HLT_DoubleEle33_CaloIdL_GsfTrkIdVL,2.250000,+/-,0.030787,2.437976,+/-,0.033359,0.000000,+/-,0.000000,2.437976,+/-,0.033359,999.000000,+/-,0.000000
HLT_DoubleMu33NoFiltersNoVtx,0.880000,+/-,0.019217,0.953520,+/-,0.020822,0.000000,+/-,0.000000,0.953520,+/-,0.020822,999.000000,+/-,0.000000
HLT_HT750_DisplacedDijet80_Inclusive,0.030000,+/-,0.003721,0.032506,+/-,0.004032,0.000000,+/-,0.000000,0.032506,+/-,0.004032,999.000000,+/-,0.000000
HLT_Mu17,25.050000,+/-,0.102643,27.142803,+/-,0.111219,0.000000,+/-,0.000000,27.142803,+/-,0.111219,999.000000,+/-,0.000000
HLT_Ele22_eta2p1_WPLoose_Gsf,43.910000,+/-,0.135889,47.578463,+/-,0.147242,0.000000,+/-,0.000000,47.578463,+/-,0.147242,999.000000,+/-,0.000000
HLT_Dimuon0_Jpsi_Muon,1.560000,+/-,0.025574,1.690330,+/-,0.027710,0.000000,+/-,0.000000,1.690330,+/-,0.027710,999.000000,+/-,0.000000
HLT_PFMET120_JetIdCleaned_Mu5,0.230000,+/-,0.009843,0.249215,+/-,0.010665,0.000000,+/-,0.000000,0.249215,+/-,0.010665,999.000000,+/-,0.000000
HLT_PFHT350,1.170000,+/-,0.022154,1.267748,+/-,0.024005,0.000000,+/-,0.000000,1.267748,+/-,0.024005,999.000000,+/-,0.000000
HLT_Photon250_NoHE,1.140000,+/-,0.021883,1.235241,+/-,0.023711,0.000000,+/-,0.000000,1.235241,+/-,0.023711,999.000000,+/-,0.000000
DST_Physics,6177.840000,+/-,1.611920,6693.967894,+/-,1.746588,0.000000,+/-,0.000000,6693.967894,+/-,1.746588,999.000000,+/-,0.000000
HLT_L2DoubleMu38_NoVertex_2Cha_Angle2p5_Mass10,0.340000,+/-,0.011946,0.368405,+/-,0.012944,0.000000,+/-,0.000000,0.368405,+/-,0.012944,999.000000,+/-,0.000000
HLT_Photon600,0.010000,+/-,0.002774,0.010835,+/-,0.003005,0.000000,+/-,0.000000,0.010835,+/-,0.003005,999.000000,+/-,0.000000
HLT_Dimuon0_Upsilon_Muon,1.050000,+/-,0.021038,1.137722,+/-,0.022796,0.000000,+/-,0.000000,1.137722,+/-,0.022796,999.000000,+/-,0.000000
HLT_PFHT650_WideJetMJJ900DEtaJJ1p5,1.910000,+/-,0.028310,2.069571,+/-,0.030675,0.000000,+/-,0.000000,2.069571,+/-,0.030675,999.000000,+/-,0.000000
HLT_Physics_part3,241.710000,+/-,0.318838,261.903672,+/-,0.345475,0.000000,+/-,0.000000,261.903672,+/-,0.345475,999.000000,+/-,0.000000
HLT_Physics_part2,241.720000,+/-,0.318845,261.914507,+/-,0.345483,0.000000,+/-,0.000000,261.914507,+/-,0.345483,999.000000,+/-,0.000000
HLT_Physics_part1,241.710000,+/-,0.318839,261.903672,+/-,0.345476,0.000000,+/-,0.000000,261.903672,+/-,0.345476,999.000000,+/-,0.000000
HLT_Physics_part0,241.730000,+/-,0.318851,261.925343,+/-,0.345489,0.000000,+/-,0.000000,261.925343,+/-,0.345489,999.000000,+/-,0.000000
AlCa_EcalPi0EEonly,2732.950000,+/-,1.072114,2961.274419,+/-,1.161683,0.000000,+/-,0.000000,2961.274419,+/-,1.161683,999.000000,+/-,0.000000
HLT_HT650_DisplacedDijet80_Inclusive,0.060000,+/-,0.005183,0.065013,+/-,0.005616,0.000000,+/-,0.000000,0.065013,+/-,0.005616,999.000000,+/-,0.000000
HLT_PFJet200,0.970000,+/-,0.020217,1.051039,+/-,0.021906,0.000000,+/-,0.000000,1.051039,+/-,0.021906,999.000000,+/-,0.000000
HLT_DoubleMu4_3_Jpsi_Displaced,7.770000,+/-,0.057180,8.419145,+/-,0.061957,0.000000,+/-,0.000000,8.419145,+/-,0.061957,999.000000,+/-,0.000000
HLT_PFMET300_JetIdCleaned,0.320000,+/-,0.011600,0.346734,+/-,0.012569,0.000000,+/-,0.000000,0.346734,+/-,0.012569,999.000000,+/-,0.000000
HLT_VBF_DisplacedJet40_VVTightID_DisplacedTrack,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_Dimuon6_Jpsi_NoVertexing,0.890000,+/-,0.019348,0.964355,+/-,0.020964,0.000000,+/-,0.000000,0.964355,+/-,0.020964,999.000000,+/-,0.000000
HLT_Photon120,0.620000,+/-,0.016084,0.671798,+/-,0.017427,0.000000,+/-,0.000000,0.671798,+/-,0.017427,999.000000,+/-,0.000000
HLT_Rsq0p30,0.160000,+/-,0.008123,0.173367,+/-,0.008801,0.000000,+/-,0.000000,0.173367,+/-,0.008801,999.000000,+/-,0.000000
HLT_Mu42NoFiltersNoVtx_Photon42_CaloIdL,0.210000,+/-,0.009497,0.227544,+/-,0.010290,0.000000,+/-,0.000000,0.227544,+/-,0.010290,999.000000,+/-,0.000000
HLT_HT500_DisplacedDijet40_Inclusive,0.760000,+/-,0.017869,0.823494,+/-,0.019362,0.000000,+/-,0.000000,0.823494,+/-,0.019362,999.000000,+/-,0.000000
HLT_DoubleMu38NoFiltersNoVtx,0.540000,+/-,0.015111,0.585114,+/-,0.016374,0.000000,+/-,0.000000,0.585114,+/-,0.016374,999.000000,+/-,0.000000
