Prescale	Path	Group	Primary dataset	Total			HLTPhysics			
1	HLT_PFHT350_DiPFJetAve90_PFAlphaT0p52_v3	null	OnlineMonitor,HTMHT	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_TkMu20_v3	SMP	OnlineMonitor,SingleMuon	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_IsoMu21_eta2p1_LooseIsoPFTau20_SingleL1_v2	TAU,HIG	OnlineMonitor,SingleMuon	3.75766799124	±	1.87883399562	3.75766799124	±	1.87883399562	
1	HLT_Mu8_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT300_PFMETNoMu60_v1	null	OnlineMonitor,SingleMuon	0.0	±	0	0.0	±	0	
1	HLT_IsoMu20_v4	SMP,muon	OnlineMonitor,ExpressPhysics,SingleMuon	88.3051977942	±	9.10798571601	88.3051977942	±	9.10798571601	
1	HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx_v3	EXO	OnlineMonitor,DoubleMuon	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_TripleMu_12_10_5_v3	HIG	OnlineMonitor,DoubleMuon	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Photon90_CaloIdL_PFHT500_v4	SUSY	OnlineMonitor,SinglePhoton	4.69708498906	±	2.10060026632	4.69708498906	±	2.10060026632	
1	HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT250_v2	null	OnlineMonitor,DoubleEG	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_v2	EXO	OnlineMonitor,NoBPTX	9.39416997811	±	2.97069738576	9.39416997811	±	2.97069738576	
1	HLT_Mu15_IsoVVVL_PFHT400_PFMET50_v1	SUSY,electron+hadronic	OnlineMonitor,SingleMuon	0.0	±	0	0.0	±	0	
1	HLT_LooseIsoPFTau50_Trk30_eta2p1_MET120_v2	HIG,TAU,EXO	OnlineMonitor,Tau	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Physics_v3	null	OnlineMonitor,ExpressPhysics,HLTPhysics	0.0	±	0	0.0	±	0	
1	HLT_AK4CaloJet30_v4	HIN	OnlineMonitor,HINCaloJets	0.0	±	0	0.0	±	0	
1	HLT_Mu42NoFiltersNoVtx_Photon42_CaloIdL_v3	EXO-Disappearing Tracks	OnlineMonitor,MuonEG	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_PixelTracks_Multiplicity85ForEndOfFill_v2	FSQ,HIN	OnlineMonitor,HighMultiplicity85EOF	0.0	±	0	0.0	±	0	
1	HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF_v3	HIG	OnlineMonitor,SinglePhoton	0.0	±	0	0.0	±	0	
1	HLT_Photon90_CaloIdL_PFHT600_v3	SUSY,EXO	OnlineMonitor,SinglePhoton	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_MET60_IsoTrk35_Loose_v2	EXO-Disappearing Tracks	OnlineMonitor,MET	0.0	±	0	0.0	±	0	
1	HLT_PFHT200_DiPFJetAve90_PFAlphaT0p63_v3	SUSY	OnlineMonitor,HTMHT	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_Rsq0p25_v3	SUSY	OnlineMonitor,HTMHT	0.0	±	0	0.0	±	0	
1	HLT_HT500to550_v2	EXO	OnlineMonitor,ParkingHT500to550,ParkingScoutingMonitor	63.8803558512	±	7.74663101695	63.8803558512	±	7.74663101695	
1	HLT_DiPFJetAve60_v3	JME	OnlineMonitor,JetHT	0.0	±	0	0.0	±	0	
1	HLT_DiPFJetAve140_v3	JME	OnlineMonitor,JetHT	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Mu45_eta2p1_v3	EXO,SMP,muon	OnlineMonitor,SingleMuon	20.6671739518	±	4.40625629158	20.6671739518	±	4.40625629158	
1	HLT_Mu17_Photon22_CaloIdL_L1ISO_v2	HIG	OnlineMonitor,MuonEG	9.39416997811	±	2.97069738576	9.39416997811	±	2.97069738576	
1	HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Loose_v3	EXO	OnlineMonitor,SingleMuon	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_IsoMu17_eta2p1_LooseIsoPFTau20_SingleL1_v5	TAU,HIG	OnlineMonitor,SingleMuon	5.63650198687	±	2.30109230033	5.63650198687	±	2.30109230033	
1	HLT_HT450to470_v2	EXO	OnlineMonitor,ParkingHT450to470,ParkingScoutingMonitor	38.5160969103	±	6.01520374774	38.5160969103	±	6.01520374774	
