Prescale,Path,Group,Total,,,QCDPt15to30,,,,\QCDPt30to50,,,\QCDPt50to80,,,\QCDPt80to120,,,\QCDPt120to170,,,\QCDPt170to300,,,\QCDPt300to470,,,\QCDPt470to600,,,\DYToLLM1,,,\WJetsToLNu,,,\QCDPt15to20EMEnriched,,,\QCDPt20to30EMEnriched,,,\QCDPt30to50EMEnriched,,,\QCDPt50to80EMEnriched,,,\QCDPt80to120EMEnriched,,,\QCDPt120to170EMEnriched,,,\QCDPt15to20MuEnrichedPt5,,,\QCDPt20to30MuEnrichedPt5,,,\QCDPt30to50MuEnrichedPt5,,,\QCDPt50to80MuEnrichedPt5,,,\QCDPt80to120MuEnrichedPt5,,,\QCDPt120to170MuEnrichedPt5,
1,HLT_RsqMR270_Rsq0p09_MR200_v2,SUSY,8.26,±,0.67,0.00,±,0.00,1.40,±,0.57,1.26,±,0.20,0.37,±,0.05,0.13,±,0.02,0.15,±,0.02,0.01,±,0.00,0.00,±,0.00,0.05,±,0.01,0.33,±,0.03,0.01,±,0.01,0.32,±,0.06,1.83,±,0.21,1.42,±,0.11,0.58,±,0.09,0.15,±,0.04,0.03,±,0.02,0.01,±,0.01,0.06,±,0.01,0.07,±,0.02,0.05,±,0.01,0.01,±,0.01
0,HLT_AK4PFJet100_v3,HIN,7.78,±,0.12,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.01,±,0.01,0.02,±,0.01,1.83,±,0.08,4.52,±,0.08,1.28,±,0.01,0.00,±,0.00,0.02,±,0.01,0.01,±,0.01,0.01,±,0.01,0.02,±,0.02,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
60,HLT_PFJet320_v4,"SMP,BTV",7.38,±,0.21,0.00,±,0.00,0.00,±,0.00,0.13,±,0.06,0.36,±,0.05,1.32,±,0.07,3.56,±,0.12,0.41,±,0.02,0.04,±,0.00,0.01,±,0.00,0.11,±,0.02,0.00,±,0.00,0.01,±,0.01,0.10,±,0.05,0.03,±,0.02,0.31,±,0.07,0.87,±,0.10,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.08,±,0.02
1,HLT_Ele22_eta2p1_WPLoose_Gsf_v3,Egamma,7.31,±,0.21,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.03,±,0.02,0.05,±,0.03,0.10,±,0.03,0.04,±,0.02,0.01,±,0.01,1.08,±,0.12,2.52,±,0.12,2.34,±,0.08,0.92,±,0.06,0.17,±,0.03,0.04,±,0.01
1000,HLT_Mu12_Photon25_CaloIdL_L1ISO_v3,HIG,7.05,±,0.56,0.00,±,0.00,0.94,±,0.47,0.94,±,0.17,0.30,±,0.05,0.12,±,0.02,0.13,±,0.02,0.01,±,0.00,0.00,±,0.00,0.05,±,0.01,0.37,±,0.03,0.01,±,0.01,0.24,±,0.05,1.76,±,0.21,1.34,±,0.11,0.51,±,0.08,0.15,±,0.04,0.01,±,0.01,0.02,±,0.01,0.05,±,0.01,0.05,±,0.02,0.03,±,0.01,0.01,±,0.01
1,HLT_IsoTkMu27_v3,"SMP,HIG",7.02,±,0.19,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.09,±,0.03,0.47,±,0.04,2.94,±,0.11,0.41,±,0.02,0.05,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.05,±,0.03,0.00,±,0.00,0.07,±,0.03,0.46,±,0.08,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.30,±,0.03,2.13,±,0.10
0,HLT_PixelTracks_Multiplicity110ForEndOfFill_v1,HIN,6.66,±,0.45,0.00,±,0.00,0.47,±,0.33,0.36,±,0.11,0.11,±,0.03,0.02,±,0.01,0.15,±,0.02,0.01,±,0.00,0.00,±,0.00,0.05,±,0.01,0.29,±,0.03,0.00,±,0.00,0.29,±,0.05,1.88,±,0.21,1.96,±,0.13,0.77,±,0.10,0.30,±,0.06,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_DoubleEle24_22_eta2p1_WPLoose_Gsf_v2,"HIG,TAU",6.66,±,0.11,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,1.39,±,0.07,4.48,±,0.08,0.75,±,0.01,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
50,HLT_DoubleJet90_Double30_DoubleBTagCSV0p67_v3,HIG,6.36,±,0.31,0.00,±,0.00,0.23,±,0.23,0.03,±,0.03,0.03,±,0.02,0.00,±,0.00,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.00,0.10,±,0.02,0.01,±,0.01,0.02,±,0.01,0.14,±,0.06,0.08,±,0.03,0.04,±,0.02,0.02,±,0.02,0.97,±,0.12,1.68,±,0.10,1.93,±,0.08,0.73,±,0.06,0.21,±,0.03,0.05,±,0.02
1,HLT_Ele15_IsoVVVL_PFHT600_v3,SUSY,6.26,±,0.20,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.03,±,0.02,0.00,±,0.00,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.03,±,0.02,0.03,±,0.02,0.01,±,0.01,1.16,±,0.13,1.86,±,0.10,1.83,±,0.08,0.91,±,0.06,0.24,±,0.03,0.08,±,0.02
