Prescale,Path,Group,Total,,,QCDPt15to30,,,,\QCDPt30to50,,,\QCDPt50to80,,,\QCDPt80to120,,,\QCDPt120to170,,,\QCDPt170to300,,,\QCDPt300to470,,,\QCDPt470to600,,,\DYToLLM1,,,\WJetsToLNu,,,\QCDPt15to20EMEnriched,,,\QCDPt20to30EMEnriched,,,\QCDPt30to50EMEnriched,,,\QCDPt50to80EMEnriched,,,\QCDPt80to120EMEnriched,,,\QCDPt120to170EMEnriched,,,\QCDPt15to20MuEnrichedPt5,,,\QCDPt20to30MuEnrichedPt5,,,\QCDPt30to50MuEnrichedPt5,,,\QCDPt50to80MuEnrichedPt5,,,\QCDPt80to120MuEnrichedPt5,,,\QCDPt120to170MuEnrichedPt5,
1,HLT_JetE70_NoBPTX3BX_NoHalo_v2,EXO,1.89,±,0.43,0.00,±,0.00,0.70,±,0.40,0.00,±,0.00,0.08,±,0.03,0.02,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.02,±,0.01,0.18,±,0.04,0.48,±,0.11,0.30,±,0.05,0.04,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_JetE50_NoBPTX3BX_NoHalo_v2,EXO,1.86,±,0.12,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.58,±,0.09,0.57,±,0.06,0.51,±,0.04,0.10,±,0.02,0.05,±,0.01,0.02,±,0.01
1,HLT_Mu7p5_L2Mu2_Upsilon_v2,BPH,1.84,±,0.10,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.15,±,0.03,0.42,±,0.04,0.95,±,0.06,0.07,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.04,±,0.02,0.14,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01
3,HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_VBF_v2,HIG,1.78,±,0.10,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.21,±,0.04,0.48,±,0.04,0.81,±,0.06,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.06,±,0.03,0.10,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.04,±,0.01
1,HLT_Mu55_v1,EXO,1.76,±,0.11,0.00,±,0.00,0.00,±,0.00,0.13,±,0.06,0.09,±,0.03,0.24,±,0.03,0.87,±,0.06,0.16,±,0.01,0.02,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.02,0.16,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.04,±,0.01
1,HLT_Photon36_R9Id90_HE10_IsoM_v3,"SMP,SUSY",1.76,±,0.10,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.03,0.04,±,0.02,0.01,±,0.01,0.01,±,0.01,0.17,±,0.05,0.42,±,0.05,0.52,±,0.04,0.30,±,0.04,0.14,±,0.02,0.05,±,0.02
8000,HLT_HT275_v1,EXO,1.74,±,0.11,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.00,±,0.00,0.01,±,0.01,0.18,±,0.03,0.02,±,0.01,0.00,±,0.00,0.02,±,0.00,0.10,±,0.02,0.00,±,0.00,0.00,±,0.00,0.07,±,0.04,0.22,±,0.04,0.15,±,0.05,0.07,±,0.03,0.00,±,0.00,0.01,±,0.01,0.08,±,0.02,0.33,±,0.04,0.29,±,0.03,0.14,±,0.03
5,HLT_Photon120_R9Id90_HE10_IsoM_v3,"SMP,SUSY",1.72,±,0.25,0.00,±,0.00,0.23,±,0.23,0.06,±,0.05,0.01,±,0.01,0.02,±,0.01,0.33,±,0.04,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.02,0.07,±,0.03,0.14,±,0.04,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.08,±,0.02,0.33,±,0.04,0.37,±,0.04
1,HLT_DoubleJetsC100_DoubleBTagCSV0p85_DoublePFJetsC160_v2,SUSY,1.64,±,0.27,0.00,±,0.00,0.23,±,0.23,0.32,±,0.10,0.41,±,0.06,0.20,±,0.03,0.15,±,0.02,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.08,±,0.03,0.14,±,0.04,0.05,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01
1,HLT_Mu17_Photon35_CaloIdL_L1ISO_v3,HIG,1.63,±,0.11,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.03,±,0.02,0.00,±,0.00,0.30,±,0.06,0.46,±,0.05,0.43,±,0.04,0.21,±,0.03,0.10,±,0.02,0.01,±,0.01
220,HLT_Mu16_eta2p1_MET30_v1,"TAU,HIG",1.61,±,0.14,0.00,±,0.00,0.00,±,0.00,0.19,±,0.08,0.15,±,0.04,0.09,±,0.02,0.16,±,0.03,0.02,±,0.01,0.00,±,0.00,0.03,±,0.00,0.14,±,0.02,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.29,±,0.05,0.35,±,0.07,0.12,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.01,±,0.01
25,HLT_Mu20_Mu10_v1,HIG,1.61,±,0.09,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.01,±,0.01,0.00,±,0.00,0.02,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.05,±,0.02,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.10,±,0.02,0.53,±,0.04,0.57,±,0.05,0.19,±,0.03,0.06,±,0.02
0,HLT_Mu16_TkMu0_dEta18_Onia_v2,"BPH,SMP",1.61,±,0.09,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.21,±,0.04,0.36,±,0.04,0.62,±,0.05,0.12,±,0.01,0.02,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.07,±,0.03,0.11,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.06,±,0.02
1,HLT_HT650_v2,"EXO,PPD",1.59,±,0.27,0.00,±,0.00,0.23,±,0.23,0.19,±,0.08,0.36,±,0.05,0.25,±,0.03,0.09,±,0.02,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.02,0.07,±,0.02,0.19,±,0.05,0.11,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01
1,HLT_Mu7p5_Track2_Jpsi_v2,BPH,1.58,±,0.11,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.02,±,0.01,0.03,±,0.02,0.00,±,0.00,0.39,±,0.07,0.50,±,0.05,0.45,±,0.04,0.11,±,0.02,0.05,±,0.01,0.01,±,0.01
1,HLT_Mu10_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT350_PFMETNoMu60_v1,SUSY,1.56,±,0.09,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.30,±,0.05,0.45,±,0.04,0.59,±,0.05,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.04,±,0.02,0.10,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01
1,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v3,SUSY,1.56,±,0.12,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.05,±,0.02,0.01,±,0.01,0.07,±,0.02,0.01,±,0.00,0.00,±,0.00,0.03,±,0.00,0.45,±,0.03,0.00,±,0.00,0.03,±,0.02,0.19,±,0.07,0.41,±,0.06,0.19,±,0.05,0.07,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00
0,HLT_VBF_DisplacedJet40_DisplacedTrack_v2,EXO,1.53,±,0.10,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.23,±,0.04,0.46,±,0.04,0.55,±,0.05,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.08,±,0.03,0.11,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01
1,HLT_VBF_DisplacedJet40_DisplacedTrack_2TrackIP2DSig5_v2,EXO,1.52,±,0.35,0.00,±,0.00,0.47,±,0.33,0.16,±,0.07,0.10,±,0.03,0.06,±,0.02,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.19,±,0.07,0.40,±,0.06,0.07,±,0.03,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00
1,HLT_Ele27_eta2p1_WPLoose_Gsf_HT200_v2,HIG,1.52,±,0.10,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.29,±,0.05,0.28,±,0.03,0.47,±,0.04,0.11,±,0.01,0.02,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.07,±,0.03,0.09,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.06,±,0.02,0.07,±,0.02
0,HLT_HIL3Mu3BPTX_v1,HIN,1.51,±,0.08,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.14,±,0.03,0.32,±,0.04,0.69,±,0.05,0.13,±,0.01,0.03,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.02,0.06,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.09,±,0.02
1,HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55_v1,"HIG,SMP",1.50,±,0.26,0.00,±,0.00,0.23,±,0.23,0.16,±,0.07,0.56,±,0.07,0.24,±,0.03,0.14,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.06,±,0.03,0.05,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.01,±,0.01
1,HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v1,EXO,1.49,±,0.11,0.00,±,0.00,0.00,±,0.00,0.13,±,0.06,0.28,±,0.05,0.29,±,0.03,0.43,±,0.04,0.08,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.04,±,0.02,0.09,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.06,±,0.01,0.07,±,0.02
13,HLT_Photon90_R9Id90_HE10_IsoM_v3,"SMP,SUSY",1.48,±,0.10,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.19,±,0.04,0.21,±,0.03,0.29,±,0.03,0.02,±,0.01,0.00,±,0.00,0.03,±,0.00,0.19,±,0.02,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.08,±,0.03,0.24,±,0.06,0.17,±,0.05,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00
1,HLT_Photon165_R9Id90_HE10_IsoM_v3,"HIG,SUSY,SMP",1.46,±,0.27,0.00,±,0.00,0.23,±,0.23,0.32,±,0.10,0.35,±,0.05,0.15,±,0.02,0.11,±,0.02,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.07,±,0.02,0.14,±,0.04,0.04,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00
1,HLT_TrkMu15_DoubleTrkMu5NoFiltersNoVtx_v2,"EXO,SUSY",1.45,±,0.35,0.00,±,0.00,0.47,±,0.33,0.13,±,0.06,0.06,±,0.02,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.02,±,0.01,0.27,±,0.08,0.35,±,0.05,0.10,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00
1,HLT_PFMET170_HBHECleaned_v2,"SUSY,EXO,B2G",1.44,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.71,±,0.03,0.68,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_PFMET300_v1,Hotline,1.41,±,0.08,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.27,±,0.03,0.89,±,0.06,0.14,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01
2,HLT_DiPFJetAve140_v2,JME,1.39,±,0.09,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.14,±,0.03,0.34,±,0.04,0.71,±,0.05,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.02,0.06,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01
1,HLT_Photon175_v3,"SMP,EXO",1.39,±,0.10,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.00,±,0.00,0.00,±,0.00,0.17,±,0.03,0.02,±,0.01,0.00,±,0.00,0.02,±,0.00,0.09,±,0.01,0.00,±,0.00,0.00,±,0.00,0.05,±,0.03,0.19,±,0.04,0.13,±,0.04,0.07,±,0.03,0.00,±,0.00,0.01,±,0.01,0.03,±,0.01,0.20,±,0.03,0.25,±,0.03,0.12,±,0.02
1,HLT_Mu17_Mu8_SameSign_DZ_v1,"HIG,B2G",1.38,±,0.07,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.01,±,0.01,0.11,±,0.02,0.87,±,0.06,0.31,±,0.02,0.03,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01
1,HLT_PFHT350_DiPFJetAve90_PFAlphaT0p53_v2,SUSY,1.38,±,0.08,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.07,±,0.02,0.42,±,0.04,0.56,±,0.05,0.11,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.01,±,0.01,0.07,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.08,±,0.02
0,HLT_IsoTkMu20_v4,"SMP,TOP",1.37,±,0.26,0.00,±,0.00,0.23,±,0.23,0.29,±,0.10,0.27,±,0.05,0.19,±,0.03,0.08,±,0.02,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.07,±,0.02,0.07,±,0.03,0.09,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.04,±,0.01,0.03,±,0.01
1,HLT_Mu30_Ele30_CaloIdL_GsfTrkIdVL_v3,"EXO,B2G",1.37,±,0.09,0.00,±,0.00,0.00,±,0.00,0.10,±,0.06,0.03,±,0.02,0.08,±,0.02,0.36,±,0.04,0.15,±,0.01,0.03,±,0.00,0.01,±,0.00,0.48,±,0.03,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.02,±,0.01,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.03,±,0.01
1,HLT_Mu42NoFiltersNoVtx_Photon42_CaloIdL_v2,EXO,1.35,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.50,±,0.03,0.77,±,0.01,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.01,±,0.01,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_BTagMu_Jet300_Mu5_v2,BTV,1.34,±,0.42,0.00,±,0.00,0.70,±,0.40,0.36,±,0.11,0.07,±,0.02,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.05,±,0.03,0.10,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00
60,HLT_Mu8_v3,"Muon,SUSY",1.27,±,0.10,0.00,±,0.00,0.00,±,0.00,0.06,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.25,±,0.06,0.47,±,0.05,0.32,±,0.03,0.12,±,0.02,0.04,±,0.01,0.00,±,0.00
85,HLT_DiPFJetAve260_v2,JME,1.27,±,0.28,0.00,±,0.00,0.23,±,0.23,0.61,±,0.14,0.28,±,0.05,0.02,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.05,±,0.02,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00
1,HLT_Photon135_PFMET100_v1,EXO,1.26,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.02,0.15,±,0.02,0.81,±,0.06,0.11,±,0.01,0.01,±,0.00,0.01,±,0.00,0.06,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.06,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_QuadMuon0_Dimuon0_Upsilon_v2,BPH,1.25,±,0.09,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.26,±,0.06,0.47,±,0.05,0.33,±,0.03,0.12,±,0.02,0.02,±,0.01,0.00,±,0.00
0,HLT_HIL2Mu3BPTX_v1,HIN,1.22,±,0.10,0.00,±,0.00,0.00,±,0.00,0.13,±,0.06,0.13,±,0.03,0.13,±,0.02,0.53,±,0.05,0.09,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.03,±,0.02,0.03,±,0.02,0.07,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01
1,HLT_IsoMu22_v2,TOP,1.19,±,0.07,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.00,±,0.00,0.03,±,0.01,0.62,±,0.05,0.42,±,0.02,0.05,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
0,HLT_AK4CaloJet100_v2,HIN,1.18,±,0.35,0.00,±,0.00,0.47,±,0.33,0.16,±,0.07,0.06,±,0.02,0.02,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.05,±,0.02,0.19,±,0.07,0.14,±,0.03,0.04,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00
1,HLT_BTagMu_DiJet110_Mu5_v2,BTV,1.15,±,0.34,0.00,±,0.00,0.47,±,0.33,0.03,±,0.03,0.03,±,0.02,0.20,±,0.03,0.30,±,0.03,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.05,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01
1,HLT_DoublePhoton85_v2,EXO,1.14,±,0.10,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.03,±,0.02,0.01,±,0.01,0.00,±,0.00,0.33,±,0.07,0.41,±,0.05,0.23,±,0.03,0.06,±,0.02,0.02,±,0.01,0.01,±,0.01
50,HLT_PFHT600_v3,"SUSY,EXO",1.14,±,0.09,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.25,±,0.06,0.51,±,0.05,0.23,±,0.03,0.07,±,0.02,0.02,±,0.01,0.01,±,0.01
1500,HLT_HT425_v1,EXO,1.07,±,0.08,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.00,0.14,±,0.02,0.00,±,0.00,0.01,±,0.01,0.07,±,0.04,0.02,±,0.01,0.04,±,0.02,0.00,±,0.00,0.00,±,0.00,0.08,±,0.02,0.23,±,0.03,0.23,±,0.03,0.12,±,0.02,0.06,±,0.02
80000,HLT_L1SingleMu16_v1,Muons,1.04,±,0.25,0.00,±,0.00,0.23,±,0.23,0.03,±,0.03,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.01,±,0.01,0.12,±,0.04,0.24,±,0.04,0.25,±,0.03,0.07,±,0.02,0.02,±,0.01,0.00,±,0.00
40,HLT_PFHT650_v3,"SUSY,EXO",1.04,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.12,±,0.02,0.57,±,0.03,0.29,±,0.01,0.00,±,0.00,0.02,±,0.01,0.01,±,0.01,0.01,±,0.01,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
0,HLT_IsoMu20_v3,"SMP,TOP,Muons",1.03,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.06,±,0.02,0.68,±,0.05,0.20,±,0.02,0.03,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01
1,HLT_Ele105_CaloIdVT_GsfTrkIdT_v3,"EXO,B2G",1.02,±,0.14,0.00,±,0.00,0.00,±,0.00,0.26,±,0.09,0.06,±,0.02,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.09,±,0.03,0.39,±,0.10,0.17,±,0.04,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
